"file","cat","conf"
"CATH31__2020-05-05__13-03-54.jpg","Human",0.978
"CATH31__2020-05-05__13-03-54.jpg","Human",0.248
"CATH31__2020-05-05__13-03-56.jpg","Human",0.999
"CATH31__2020-05-05__13-04-06.jpg","Human",0.998
"CATH31__2020-05-05__13-04-12.jpg","Human",0.999
"CATH31__2020-05-05__13-04-14.jpg","Human",0.999
"CATH31__2020-05-05__13-04-18.jpg","Human",0.999
"CATH31__2020-05-05__13-04-18.jpg","Animal",0.204
"CATH31__2020-05-05__13-04-21.jpg","Human",0.998
"CATH31__2020-05-05__13-04-22.jpg","Human",0.999
"CATH31__2020-05-05__13-04-22.jpg","Animal",0.141
"CATH31__2020-05-05__13-04-23.jpg","Human",0.999
"CATH31__2020-05-05__13-04-23.jpg","Animal",0.1
"CATH31__2020-05-05__13-04-26.jpg","Human",0.999
"CATH31__2020-05-05__13-04-27.jpg","Human",0.999
"CATH31__2020-05-05__13-04-34.jpg","Human",0.999
"CATH31__2020-05-05__13-04-41.jpg","Human",0.999
"CATH31__2020-05-05__13-04-41.jpg","Human",0.252
"CATH31__2020-05-05__13-04-42.jpg","Human",0.999
"CATH31__2020-05-05__13-04-44.jpg","Human",0.999
"CATH31__2020-05-05__13-04-46.jpg","Human",0.999
"CATH31__2020-05-05__13-04-47.jpg","Human",0.999
"CATH31__2020-05-05__13-04-47.jpg","Human",0.953
"CATH31__2020-05-05__13-04-47.jpg","Human",0.147
"CATH31__2020-05-05__13-04-48.jpg","Human",0.999
"CATH31__2020-05-05__13-04-49.jpg","Human",0.999
"CATH31__2020-05-05__13-04-49.jpg","Human",0.394
"CATH31__2020-05-05__13-04-49.jpg","Human",0.103
"CATH31__2020-05-05__13-04-51.jpg","Human",0.998
"CATH31__2020-05-05__13-04-51.jpg","Human",0.835
"CATH31__2020-05-05__13-04-51.jpg","Human",0.666
"CATH31__2020-05-05__13-04-51.jpg","Animal",0.18
"CATH31__2020-05-05__13-04-52.jpg","Human",0.999
"CATH31__2020-05-05__13-04-54.jpg","Human",0.999
"CATH31__2020-05-05__13-04-55.jpg","Human",0.999
"CATH31__2020-05-05__13-04-58.jpg","Human",0.999
"CATH31__2020-05-05__13-04-59.jpg","Human",0.999
"CATH31__2020-05-05__13-05-03.jpg","Human",0.999
"CATH31__2020-05-05__13-05-05.jpg","Human",0.999
"CATH31__2020-05-05__13-05-09.jpg","Human",0.999
"CATH31__2020-05-05__13-05-09.jpg","Human",0.536
"CATH31__2020-05-05__13-05-10.jpg","Human",0.999
"CATH31__2020-05-05__13-05-12.jpg","Human",0.998
"CATH31__2020-05-05__13-05-12.jpg","Human",0.996
"CATH31__2020-05-05__13-05-12.jpg","Human",0.295
"CATH31__2020-05-05__13-05-13.jpg","Human",0.997
"CATH31__2020-05-05__13-05-13.jpg","Animal",0.314
"CATH31__2020-05-05__13-05-13.jpg","Animal",0.133
"CATH31__2020-05-05__13-05-13.jpg","Animal",0.107
"CATH31__2020-05-05__13-05-15.jpg","Human",0.995
"CATH31__2020-05-05__13-05-15.jpg","Animal",0.356
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.813
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.519
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.284
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.262
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.241
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.192
"CATH31__2020-05-05__13-05-16.jpg","Animal",0.184
