"file","cat","conf"
"CATH13__2019-07-03__15-03-18(1).JPG","Human",0.321
"CATH13__2019-07-03__15-03-18(1).JPG","Animal",0.221
"CATH13__2019-07-03__15-05-26(1).JPG","Blank",0
"CATH13__2019-07-03__15-05-26(1).JPG","Blank",0
"CATH13__2019-07-03__15-06-25(1).JPG","Human",0.998
"CATH13__2019-07-03__15-06-25(1).JPG","Human",0.393
"CATH13__2019-07-03__15-06-33(2).JPG","Human",0.999
"CATH13__2019-07-03__15-06-35(3).JPG","Human",0.999
"CATH13__2019-07-03__15-06-37(4).JPG","Human",0.999
"CATH13__2019-07-03__15-06-38(5).JPG","Human",0.998
"CATH13__2019-07-03__15-06-38(5).JPG","Human",0.547
"CATH13__2019-07-03__15-06-44(6).JPG","Human",0.999
"CATH13__2019-07-03__15-06-45(7).JPG","Human",0.999
"CATH13__2019-07-03__15-06-51(8).JPG","Human",0.999
"CATH13__2019-07-03__15-06-53(9).JPG","Human",0.998
"CATH13__2019-07-03__15-06-54(10).JPG","Blank",0
"CATH13__2019-07-03__15-06-54(10).JPG","Blank",0
"CATH13__2019-07-03__15-07-51(1).JPG","Blank",0
"CATH13__2019-07-03__15-07-51(1).JPG","Blank",0
"CATH13__2019-07-04__08-51-13(1).JPG","Human",0.996
"CATH13__2019-07-04__08-51-15(2).JPG","Human",0.997
"CATH13__2019-07-04__08-51-15(2).JPG","Human",0.365
"CATH13__2019-07-04__08-51-15(2).JPG","Animal",0.277
"CATH13__2019-07-04__08-51-16(3).JPG","Blank",0
"CATH13__2019-07-04__08-51-16(3).JPG","Blank",0
"CATH13__2019-07-04__08-52-52(1).JPG","Human",0.998
"CATH13__2019-07-04__08-52-52(1).JPG","Human",0.435
"CATH13__2019-07-04__08-52-53(2).JPG","Blank",0
"CATH13__2019-07-04__08-52-53(2).JPG","Blank",0
"CATH13__2019-07-04__08-53-25(1).JPG","Human",0.995
"CATH13__2019-07-04__08-53-27(2).JPG","Blank",0
"CATH13__2019-07-04__08-53-27(2).JPG","Blank",0
"CATH13__2019-07-04__08-54-01(1).JPG","Human",0.999
"CATH13__2019-07-04__08-54-03(2).JPG","Human",0.998
"CATH13__2019-07-04__08-54-03(2).JPG","Human",0.918
"CATH13__2019-07-04__08-54-03(2).JPG","Human",0.596
"CATH13__2019-07-04__08-54-03(2).JPG","Human",0.279
"CATH13__2019-07-04__08-54-03(2).JPG","Animal",0.178
"CATH13__2019-07-04__08-54-05(3).JPG","Human",0.99
"CATH13__2019-07-04__11-55-47(1).JPG","Human",0.997
"CATH13__2019-07-04__11-55-48(2).JPG","Human",0.998
"CATH13__2019-07-04__11-55-49(3).JPG","Human",0.998
"CATH13__2019-07-04__11-55-50(4).JPG","Human",0.999
"CATH13__2019-07-04__11-56-09(1).JPG","Human",0.998
"CATH13__2019-07-04__11-56-09(1).JPG","Human",0.785
"CATH13__2019-07-04__11-56-11(2).JPG","Human",0.997
"CATH13__2019-07-04__11-56-12(3).JPG","Human",0.998
"CATH13__2019-07-04__11-56-13(4).JPG","Human",0.998
"CATH13__2019-07-04__11-56-13(4).JPG","Human",0.186
"CATH13__2019-07-04__11-56-35(5).JPG","Human",0.998
"CATH13__2019-07-04__11-56-35(5).JPG","Animal",0.108
"CATH13__2019-07-04__11-56-36(6).JPG","Human",0.991
"CATH13__2019-07-04__11-56-38(7).JPG","Blank",0
"CATH13__2019-07-04__11-56-38(7).JPG","Blank",0
"CATH13__2019-07-04__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-04__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-04__12-07-07(1).JPG","Human",0.999
"CATH13__2019-07-04__12-07-08(2).JPG","Human",0.999
"CATH13__2019-07-04__12-07-14(3).JPG","Human",0.999
"CATH13__2019-07-04__12-07-15(4).JPG","Human",0.999
"CATH13__2019-07-04__12-07-17(5).JPG","Human",0.999
"CATH13__2019-07-04__12-07-18(6).JPG","Human",0.999
"CATH13__2019-07-04__12-07-19(7).JPG","Human",0.999
"CATH13__2019-07-04__12-07-21(8).JPG","Human",0.996
"CATH13__2019-07-04__12-07-21(8).JPG","Human",0.996
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.999
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.395
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.353
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.261
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.25
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.244
"CATH13__2019-07-04__12-07-22(9).JPG","Human",0.212
"CATH13__2019-07-04__12-07-24(10).JPG","Human",0.999
"CATH13__2019-07-04__12-07-24(10).JPG","Human",0.984
"CATH13__2019-07-04__12-07-24(10).JPG","Human",0.568
"CATH13__2019-07-04__12-07-26(11).JPG","Human",0.999
"CATH13__2019-07-04__12-07-26(11).JPG","Human",0.979
"CATH13__2019-07-04__12-07-26(11).JPG","Human",0.619
"CATH13__2019-07-04__12-07-27(12).JPG","Human",0.999
"CATH13__2019-07-04__12-07-27(12).JPG","Human",0.981
"CATH13__2019-07-04__12-07-27(12).JPG","Human",0.705
"CATH13__2019-07-04__12-07-27(12).JPG","Human",0.301
"CATH13__2019-07-04__12-07-27(12).JPG","Human",0.167
"CATH13__2019-07-04__12-07-28(13).JPG","Human",0.999
"CATH13__2019-07-04__12-07-28(13).JPG","Human",0.993
"CATH13__2019-07-04__12-07-28(13).JPG","Human",0.305
"CATH13__2019-07-04__12-07-28(13).JPG","Human",0.217
"CATH13__2019-07-04__12-07-28(13).JPG","Human",0.142
"CATH13__2019-07-04__12-07-31(14).JPG","Human",0.999
"CATH13__2019-07-04__12-07-31(14).JPG","Human",0.995
"CATH13__2019-07-04__12-07-31(14).JPG","Human",0.614
"CATH13__2019-07-04__12-07-31(14).JPG","Human",0.249
"CATH13__2019-07-04__12-07-32(15).JPG","Human",0.999
"CATH13__2019-07-04__12-07-32(15).JPG","Human",0.994
"CATH13__2019-07-04__12-07-32(15).JPG","Human",0.265
"CATH13__2019-07-04__12-07-32(15).JPG","Human",0.101
"CATH13__2019-07-04__12-07-34(16).JPG","Human",0.999
"CATH13__2019-07-04__12-07-34(16).JPG","Human",0.64
"CATH13__2019-07-04__12-44-53(1).JPG","Human",0.995
"CATH13__2019-07-04__12-44-54(2).JPG","Human",0.998
"CATH13__2019-07-04__12-47-36(1).JPG","Human",0.999
"CATH13__2019-07-04__12-47-37(2).JPG","Human",0.998
"CATH13__2019-07-04__12-47-37(2).JPG","Human",0.605
"CATH13__2019-07-04__12-47-37(2).JPG","Animal",0.374
"CATH13__2019-07-04__12-47-37(2).JPG","Human",0.232
"CATH13__2019-07-04__12-47-37(2).JPG","Human",0.132
"CATH13__2019-07-04__12-47-38(3).JPG","Human",0.996
"CATH13__2019-07-04__12-47-38(3).JPG","Human",0.388
"CATH13__2019-07-04__12-47-39(4).JPG","Blank",0
"CATH13__2019-07-04__12-47-39(4).JPG","Blank",0
"CATH13__2019-07-04__12-53-54(1).JPG","Human",0.999
"CATH13__2019-07-04__12-53-55(2).JPG","Blank",0
"CATH13__2019-07-04__12-53-55(2).JPG","Blank",0
"CATH13__2019-07-04__12-54-04(1).JPG","Animal",0.473
"CATH13__2019-07-04__12-54-04(1).JPG","Animal",0.135
"CATH13__2019-07-04__12-54-06(2).JPG","Blank",0
"CATH13__2019-07-04__12-54-06(2).JPG","Blank",0
"CATH13__2019-07-04__12-54-08(3).JPG","Blank",0
"CATH13__2019-07-04__12-54-08(3).JPG","Blank",0
"CATH13__2019-07-04__14-26-33(1).JPG","Blank",0
"CATH13__2019-07-04__14-26-33(1).JPG","Blank",0
"CATH13__2019-07-05__07-24-00(1).JPG","Animal",0.988
"CATH13__2019-07-05__07-24-02(2).JPG","Animal",0.988
"CATH13__2019-07-05__07-24-10(3).JPG","Animal",0.999
"CATH13__2019-07-05__10-25-09(1).JPG","Animal",0.151
"CATH13__2019-07-05__10-25-14(2).JPG","Human",0.99
"CATH13__2019-07-05__10-25-14(2).JPG","Human",0.148
"CATH13__2019-07-05__10-25-15(3).JPG","Human",0.992
"CATH13__2019-07-05__10-25-15(3).JPG","Human",0.892
"CATH13__2019-07-05__10-25-15(3).JPG","Animal",0.357
"CATH13__2019-07-05__10-25-15(3).JPG","Human",0.121
"CATH13__2019-07-05__10-25-17(4).JPG","Human",0.999
"CATH13__2019-07-05__10-25-17(4).JPG","Human",0.235
"CATH13__2019-07-05__10-25-17(4).JPG","Human",0.209
"CATH13__2019-07-05__10-25-18(5).JPG","Human",0.999
"CATH13__2019-07-05__10-25-25(6).JPG","Human",0.998
"CATH13__2019-07-05__10-25-25(6).JPG","Human",0.136
"CATH13__2019-07-05__10-25-31(7).JPG","Human",0.998
"CATH13__2019-07-05__10-25-31(7).JPG","Human",0.433
"CATH13__2019-07-05__10-25-31(7).JPG","Human",0.214
"CATH13__2019-07-05__10-25-32(8).JPG","Human",0.987
"CATH13__2019-07-05__10-25-32(8).JPG","Human",0.17
"CATH13__2019-07-05__10-25-32(8).JPG","Human",0.132
"CATH13__2019-07-05__10-25-34(9).JPG","Human",0.998
"CATH13__2019-07-05__10-25-34(9).JPG","Human",0.946
"CATH13__2019-07-05__10-25-34(9).JPG","Animal",0.139
"CATH13__2019-07-05__10-25-36(10).JPG","Human",0.998
"CATH13__2019-07-05__10-25-36(10).JPG","Human",0.298
"CATH13__2019-07-05__10-25-36(10).JPG","Human",0.256
"CATH13__2019-07-05__10-25-36(10).JPG","Human",0.238
"CATH13__2019-07-05__10-25-37(11).JPG","Human",0.995
"CATH13__2019-07-05__10-25-38(12).JPG","Human",0.998
"CATH13__2019-07-05__10-25-38(12).JPG","Human",0.632
"CATH13__2019-07-05__10-25-40(13).JPG","Human",0.999
"CATH13__2019-07-05__10-25-41(14).JPG","Human",0.998
"CATH13__2019-07-05__10-25-43(15).JPG","Human",0.998
"CATH13__2019-07-05__10-25-45(16).JPG","Human",0.999
"CATH13__2019-07-05__10-25-46(17).JPG","Blank",0
"CATH13__2019-07-05__10-25-46(17).JPG","Blank",0
"CATH13__2019-07-05__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-05__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-06__10-09-06(1).JPG","Human",0.996
"CATH13__2019-07-06__10-09-18(2).JPG","Human",0.994
"CATH13__2019-07-06__10-09-18(2).JPG","Animal",0.148
"CATH13__2019-07-06__10-09-20(3).JPG","Blank",0
"CATH13__2019-07-06__10-09-20(3).JPG","Blank",0
"CATH13__2019-07-06__10-09-25(4).JPG","Human",0.999
"CATH13__2019-07-06__10-09-25(4).JPG","Human",0.255
"CATH13__2019-07-06__10-09-27(5).JPG","Human",0.996
"CATH13__2019-07-06__10-09-28(6).JPG","Human",0.997
"CATH13__2019-07-06__10-09-28(6).JPG","Human",0.701
"CATH13__2019-07-06__10-09-30(7).JPG","Human",0.998
"CATH13__2019-07-06__10-09-30(7).JPG","Human",0.59
"CATH13__2019-07-06__10-09-31(8).JPG","Human",0.998
"CATH13__2019-07-06__11-08-48(1).JPG","Human",0.999
"CATH13__2019-07-06__11-08-49(2).JPG","Human",0.998
"CATH13__2019-07-06__11-08-53(3).JPG","Human",0.999
"CATH13__2019-07-06__11-08-54(4).JPG","Human",0.999
"CATH13__2019-07-06__11-08-56(5).JPG","Human",0.999
"CATH13__2019-07-06__11-08-56(5).JPG","Human",0.121
"CATH13__2019-07-06__11-08-58(6).JPG","Human",0.999
"CATH13__2019-07-06__11-08-59(7).JPG","Human",0.999
"CATH13__2019-07-06__11-08-59(7).JPG","Human",0.24
"CATH13__2019-07-06__11-08-59(7).JPG","Human",0.111
"CATH13__2019-07-06__11-09-01(1).JPG","Human",0.999
"CATH13__2019-07-06__11-09-01(1).JPG","Human",0.203
"CATH13__2019-07-06__11-09-02(2).JPG","Human",0.998
"CATH13__2019-07-06__11-09-04(3).JPG","Human",0.999
"CATH13__2019-07-06__11-09-05(4).JPG","Human",0.998
"CATH13__2019-07-06__11-09-06(5).JPG","Blank",0
"CATH13__2019-07-06__11-09-06(5).JPG","Blank",0
"CATH13__2019-07-06__11-31-05(1).JPG","Human",0.999
"CATH13__2019-07-06__11-31-05(1).JPG","Human",0.242
"CATH13__2019-07-06__11-31-06(2).JPG","Human",0.998
"CATH13__2019-07-06__11-31-07(3).JPG","Human",0.999
"CATH13__2019-07-06__11-31-09(4).JPG","Human",0.998
"CATH13__2019-07-06__11-31-09(4).JPG","Human",0.998
"CATH13__2019-07-06__11-31-09(4).JPG","Animal",0.169
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.998
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.988
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.698
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.394
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.177
"CATH13__2019-07-06__11-31-10(5).JPG","Human",0.124
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.998
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.971
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.961
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.568
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.38
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.218
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.194
"CATH13__2019-07-06__11-31-13(6).JPG","Human",0.192
"CATH13__2019-07-06__11-31-15(7).JPG","Human",0.998
"CATH13__2019-07-06__11-31-15(7).JPG","Human",0.998
"CATH13__2019-07-06__11-31-15(7).JPG","Human",0.986
"CATH13__2019-07-06__11-31-15(7).JPG","Human",0.206
"CATH13__2019-07-06__11-31-15(7).JPG","Human",0.194
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.998
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.843
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.636
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.272
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.151
"CATH13__2019-07-06__11-31-18(8).JPG","Human",0.108
"CATH13__2019-07-06__11-31-19(9).JPG","Human",0.998
"CATH13__2019-07-06__11-31-19(9).JPG","Animal",0.658
"CATH13__2019-07-06__11-31-19(9).JPG","Human",0.433
"CATH13__2019-07-06__11-31-19(9).JPG","Vehicle",0.174
"CATH13__2019-07-06__11-31-21(10).JPG","Human",0.999
"CATH13__2019-07-06__11-31-22(11).JPG","Human",0.998
"CATH13__2019-07-06__11-31-24(12).JPG","Human",0.997
"CATH13__2019-07-06__11-31-25(13).JPG","Human",0.999
"CATH13__2019-07-06__11-31-27(14).JPG","Human",0.999
"CATH13__2019-07-06__11-31-27(14).JPG","Human",0.995
"CATH13__2019-07-06__11-31-28(15).JPG","Human",0.999
"CATH13__2019-07-06__11-31-28(15).JPG","Human",0.625
"CATH13__2019-07-06__11-31-28(15).JPG","Human",0.339
"CATH13__2019-07-06__11-31-28(15).JPG","Human",0.134
"CATH13__2019-07-06__11-31-29(16).JPG","Human",0.999
"CATH13__2019-07-06__11-31-31(17).JPG","Human",0.998
"CATH13__2019-07-06__11-31-33(18).JPG","Human",0.997
"CATH13__2019-07-06__11-31-33(18).JPG","Human",0.993
"CATH13__2019-07-06__11-31-33(18).JPG","Human",0.57
"CATH13__2019-07-06__11-31-35(19).JPG","Human",0.997
"CATH13__2019-07-06__11-31-35(19).JPG","Human",0.997
"CATH13__2019-07-06__11-31-35(19).JPG","Human",0.483
"CATH13__2019-07-06__11-31-35(19).JPG","Animal",0.206
"CATH13__2019-07-06__11-31-36(20).JPG","Human",0.945
"CATH13__2019-07-06__11-31-36(20).JPG","Human",0.443
"CATH13__2019-07-06__11-31-36(20).JPG","Human",0.313
"CATH13__2019-07-06__11-31-39(21).JPG","Blank",0
"CATH13__2019-07-06__11-31-39(21).JPG","Blank",0
"CATH13__2019-07-06__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-06__12-00-00(1).JPG","Blank",0
"CATH13__2019-07-06__12-25-13(1).JPG","Blank",0
"CATH13__2019-07-06__12-25-13(1).JPG","Blank",0
"CATH13__2019-07-06__13-51-19(1).JPG","Human",0.999
"CATH13__2019-07-06__13-51-19(1).JPG","Human",0.675
"CATH13__2019-07-06__13-51-19(1).JPG","Human",0.66
"CATH13__2019-07-06__13-51-22(2).JPG","Human",0.998
"CATH13__2019-07-06__13-51-23(3).JPG","Blank",0
"CATH13__2019-07-06__13-51-23(3).JPG","Blank",0
"CATH13__2019-07-06__14-33-12(1).JPG","Human",0.998
"CATH13__2019-07-06__14-33-14(2).JPG","Blank",0
"CATH13__2019-07-06__14-33-14(2).JPG","Blank",0
"CATH13__2019-07-06__14-33-26(3).JPG","Human",0.999
"CATH13__2019-07-06__14-33-26(3).JPG","Human",0.345
"CATH13__2019-07-06__14-33-28(4).JPG","Human",0.997
"CATH13__2019-07-06__14-33-28(4).JPG","Human",0.982
"CATH13__2019-07-06__14-33-28(4).JPG","Human",0.333
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.997
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.815
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.808
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.483
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.227
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.217
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.14
"CATH13__2019-07-06__14-33-29(5).JPG","Human",0.108
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.997
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.975
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.933
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.622
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.337
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.19
"CATH13__2019-07-06__14-33-31(6).JPG","Human",0.152
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.998
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.993
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.629
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.482
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.265
"CATH13__2019-07-06__14-33-32(7).JPG","Human",0.175
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.998
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.982
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.639
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.525
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.357
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.162
"CATH13__2019-07-06__14-33-33(8).JPG","Human",0.151
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.998
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.982
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.752
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.358
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.265
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.12
"CATH13__2019-07-06__14-33-34(9).JPG","Human",0.103
"CATH13__2019-07-06__14-33-36(10).JPG","Human",0.999
"CATH13__2019-07-06__14-33-36(10).JPG","Human",0.832
"CATH13__2019-07-06__14-33-36(10).JPG","Human",0.385
"CATH13__2019-07-06__14-33-36(10).JPG","Human",0.116
"CATH13__2019-07-06__14-33-36(10).JPG","Human",0.102
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.992
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.751
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.658
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.241
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.126
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.108
"CATH13__2019-07-06__14-33-37(11).JPG","Human",0.105
"CATH13__2019-07-06__14-33-39(12).JPG","Human",0.999
"CATH13__2019-07-06__14-33-39(12).JPG","Human",0.152
"CATH13__2019-07-06__14-33-41(13).JPG","Human",0.999
"CATH13__2019-07-06__14-33-43(14).JPG","Human",0.999
"CATH13__2019-07-06__14-33-44(15).JPG","Human",0.998
"CATH13__2019-07-06__14-33-44(15).JPG","Human",0.991
"CATH13__2019-07-06__14-33-44(15).JPG","Human",0.903
"CATH13__2019-07-06__14-33-46(16).JPG","Human",0.999
"CATH13__2019-07-06__14-33-46(16).JPG","Human",0.997
"CATH13__2019-07-06__14-33-47(17).JPG","Human",0.999
"CATH13__2019-07-06__14-33-47(17).JPG","Human",0.92
"CATH13__2019-07-06__14-33-47(17).JPG","Human",0.338
"CATH13__2019-07-06__14-33-47(17).JPG","Human",0.155
"CATH13__2019-07-06__14-33-48(18).JPG","Human",0.998
"CATH13__2019-07-06__14-33-48(18).JPG","Human",0.755
"CATH13__2019-07-06__14-33-48(18).JPG","Human",0.434
"CATH13__2019-07-06__14-33-48(18).JPG","Human",0.136
"CATH13__2019-07-06__14-33-51(19).JPG","Human",0.999
"CATH13__2019-07-06__14-33-51(19).JPG","Human",0.335
"CATH13__2019-07-06__14-33-51(19).JPG","Human",0.32
"CATH13__2019-07-06__14-33-51(19).JPG","Human",0.223
"CATH13__2019-07-06__14-33-51(19).JPG","Human",0.102
"CATH13__2019-07-06__14-33-52(20).JPG","Human",0.999
"CATH13__2019-07-06__14-33-53(21).JPG","Human",0.996
"CATH13__2019-07-06__14-33-53(21).JPG","Human",0.515
"CATH13__2019-07-06__14-33-53(21).JPG","Human",0.1
"CATH13__2019-07-06__14-33-55(22).JPG","Human",0.999
"CATH13__2019-07-06__14-33-56(23).JPG","Human",0.999
"CATH13__2019-07-06__14-33-57(24).JPG","Human",0.998
"CATH13__2019-07-06__14-33-57(24).JPG","Human",0.225
"CATH13__2019-07-06__14-33-59(25).JPG","Human",0.999
"CATH13__2019-07-06__14-33-59(25).JPG","Human",0.111
"CATH13__2019-07-06__14-34-01(1).JPG","Human",0.999
"CATH13__2019-07-06__14-34-02(2).JPG","Human",0.999
"CATH13__2019-07-06__14-34-02(2).JPG","Human",0.186
"CATH13__2019-07-06__14-34-03(3).JPG","Human",0.999
"CATH13__2019-07-06__14-34-06(4).JPG","Human",0.999
"CATH13__2019-07-06__14-34-06(4).JPG","Human",0.998
"CATH13__2019-07-06__14-34-06(4).JPG","Human",0.54
"CATH13__2019-07-06__14-34-06(4).JPG","Animal",0.322
"CATH13__2019-07-06__14-34-07(5).JPG","Human",0.999
"CATH13__2019-07-06__14-34-07(5).JPG","Human",0.97
"CATH13__2019-07-06__14-34-09(6).JPG","Human",0.999
"CATH13__2019-07-06__14-34-11(7).JPG","Human",0.998
"CATH13__2019-07-06__14-34-11(7).JPG","Human",0.998
"CATH13__2019-07-06__14-34-11(7).JPG","Animal",0.253
"CATH13__2019-07-06__14-34-12(8).JPG","Human",0.999
"CATH13__2019-07-06__14-34-13(9).JPG","Blank",0
"CATH13__2019-07-06__14-34-13(9).JPG","Blank",0
"CATH13__2019-07-06__16-46-18(1).JPG","Human",0.999
"CATH13__2019-07-06__16-46-19(2).JPG","Human",0.998
"CATH13__2019-07-06__16-46-22(3).JPG","Human",0.998
"CATH13__2019-07-06__16-46-23(4).JPG","Human",0.998
"CATH13__2019-07-06__16-46-29(5).JPG","Human",0.999
"CATH13__2019-07-06__16-46-30(6).JPG","Blank",0
"CATH13__2019-07-06__16-46-30(6).JPG","Blank",0
"CATH13__2019-07-06__17-47-27(1).JPG","Animal",0.999
"CATH13__2019-07-07__09-13-46(1).JPG","Human",0.999
"CATH13__2019-07-07__09-13-46(1).JPG","Human",0.268
"CATH13__2019-07-07__09-13-46(1).JPG","Human",0.121
"CATH13__2019-07-07__09-13-48(2).JPG","Blank",0
"CATH13__2019-07-07__09-13-48(2).JPG","Blank",0
"CATH13__2019-07-07__09-14-01(1).JPG","Human",0.997
"CATH13__2019-07-07__09-14-01(1).JPG","Human",0.104
"CATH13__2019-07-07__09-14-02(2).JPG","Human",0.999
"CATH13__2019-07-07__09-14-04(3).JPG","Human",0.999
"CATH13__2019-07-07__09-14-06(4).JPG","Human",0.998
"CATH13__2019-07-07__09-14-06(4).JPG","Human",0.21
"CATH13__2019-07-07__09-14-06(4).JPG","Human",0.162
"CATH13__2019-07-07__09-14-06(4).JPG","Human",0.111
"CATH13__2019-07-07__09-14-07(5).JPG","Human",0.999
"CATH13__2019-07-07__09-14-07(5).JPG","Human",0.114
"CATH13__2019-07-07__09-14-09(6).JPG","Human",0.999
"CATH13__2019-07-07__09-14-11(7).JPG","Human",0.999
"CATH13__2019-07-07__09-14-12(8).JPG","Human",0.999
"CATH13__2019-07-07__09-14-12(8).JPG","Human",0.984
"CATH13__2019-07-07__09-14-12(8).JPG","Human",0.293
"CATH13__2019-07-07__09-14-14(9).JPG","Human",0.996
"CATH13__2019-07-07__09-14-14(9).JPG","Human",0.989
"CATH13__2019-07-07__09-14-14(9).JPG","Human",0.594
"CATH13__2019-07-07__09-14-14(9).JPG","Human",0.156
"CATH13__2019-07-07__09-14-14(9).JPG","Human",0.137
"CATH13__2019-07-07__09-14-16(10).JPG","Human",0.997
"CATH13__2019-07-07__09-14-16(10).JPG","Human",0.984
"CATH13__2019-07-07__09-14-18(11).JPG","Human",0.999
"CATH13__2019-07-07__09-14-19(12).JPG","Human",0.991
"CATH13__2019-07-07__09-14-21(13).JPG","Blank",0
"CATH13__2019-07-07__09-14-21(13).JPG","Blank",0
"CATH13__2019-07-07__10-12-16(1).JPG","Human",0.999
"CATH13__2019-07-07__10-12-18(2).JPG","Human",0.999
"CATH13__2019-07-07__10-12-20(3).JPG","Human",0.999
"CATH13__2019-07-07__10-12-23(4).JPG","Human",0.999
"CATH13__2019-07-07__10-12-25(5).JPG","Human",0.999
