"file","cat","conf"
"CATH24__2019-07-04__12-31-12(1).JPG","Human",0.999
"CATH24__2019-07-04__12-31-14(2).JPG","Human",0.855
"CATH24__2019-07-04__12-31-14(2).JPG","Human",0.66
"CATH24__2019-07-04__12-31-14(2).JPG","Human",0.539
"CATH24__2019-07-04__12-31-14(2).JPG","Vehicle",0.231
"CATH24__2019-07-04__12-31-14(2).JPG","Human",0.125
"CATH24__2019-07-04__12-31-14(2).JPG","Human",0.11
"CATH24__2019-07-04__12-31-15(3).JPG","Human",0.999
"CATH24__2019-07-04__12-31-17(4).JPG","Blank",0
"CATH24__2019-07-04__12-31-17(4).JPG","Blank",0
"CATH24__2019-07-04__12-31-18(5).JPG","Human",0.999
"CATH24__2019-07-04__12-31-19(6).JPG","Human",0.999
"CATH24__2019-07-04__12-31-20(7).JPG","Human",0.999
"CATH24__2019-07-04__12-31-21(8).JPG","Human",0.999
"CATH24__2019-07-04__12-31-23(9).JPG","Human",0.994
"CATH24__2019-07-04__12-31-23(9).JPG","Human",0.596
"CATH24__2019-07-04__12-31-23(9).JPG","Human",0.537
"CATH24__2019-07-04__12-31-23(9).JPG","Human",0.27
"CATH24__2019-07-04__12-31-23(9).JPG","Human",0.184
"CATH24__2019-07-04__12-31-25(10).JPG","Human",0.999
"CATH24__2019-07-04__12-31-30(11).JPG","Human",0.999
"CATH24__2019-07-04__12-31-30(11).JPG","Human",0.417
"CATH24__2019-07-04__12-31-30(11).JPG","Human",0.152
"CATH24__2019-07-04__12-31-30(11).JPG","Animal",0.102
"CATH24__2019-07-04__12-31-32(12).JPG","Human",0.999
"CATH24__2019-07-04__12-31-33(13).JPG","Human",0.999
"CATH24__2019-07-04__12-31-35(14).JPG","Human",0.998
"CATH24__2019-07-04__12-31-35(14).JPG","Human",0.164
"CATH24__2019-07-04__12-31-35(14).JPG","Human",0.157
"CATH24__2019-07-04__12-31-35(14).JPG","Vehicle",0.131
"CATH24__2019-07-04__12-31-36(15).JPG","Blank",0
"CATH24__2019-07-04__12-31-36(15).JPG","Blank",0
