"file","cat","conf"
"CATH46__2019-08-22__10-31-37.jpg","Human",0.991
"CATH46__2019-08-22__10-31-38.jpg","Human",0.999
"CATH46__2019-08-22__10-31-39.jpg","Human",0.999
"CATH46__2019-08-22__10-31-40.jpg","Human",0.999
"CATH46__2019-08-22__10-31-42.jpg","Human",0.999
"CATH46__2019-08-22__10-31-44.jpg","Human",0.999
"CATH46__2019-08-22__10-31-45.jpg","Human",0.999
"CATH46__2019-08-22__10-31-46.jpg","Human",0.999
"CATH46__2019-08-22__10-31-49.jpg","Human",0.999
"CATH46__2019-08-22__10-31-50.jpg","Human",0.999
"CATH46__2019-08-22__10-31-51.jpg","Human",0.974
"CATH46__2019-08-22__10-31-51.jpg","Animal",0.108
"CATH46__2019-08-22__10-31-53.jpg","Blank",0
"CATH46__2019-08-22__10-31-53.jpg","Blank",0
"CATH46__2019-08-22__10-32-17.jpg","Human",0.679
"CATH46__2019-08-22__10-32-17.jpg","Animal",0.239
"CATH46__2019-08-22__10-32-19.jpg","Human",0.999
"CATH46__2019-08-22__10-32-21.jpg","Human",0.999
"CATH46__2019-08-22__10-32-21.jpg","Human",0.923
"CATH46__2019-08-22__10-32-21.jpg","Human",0.714
"CATH46__2019-08-22__10-32-21.jpg","Human",0.333
"CATH46__2019-08-22__10-32-22.jpg","Human",0.999
"CATH46__2019-08-22__10-32-22.jpg","Human",0.998
"CATH46__2019-08-22__10-32-23.jpg","Human",0.998
"CATH46__2019-08-22__10-32-23.jpg","Human",0.998
"CATH46__2019-08-22__10-32-23.jpg","Human",0.155
"CATH46__2019-08-22__10-32-25.jpg","Human",0.999
"CATH46__2019-08-22__10-32-25.jpg","Human",0.998
"CATH46__2019-08-22__10-32-25.jpg","Human",0.375
"CATH46__2019-08-22__10-32-25.jpg","Human",0.205
"CATH46__2019-08-22__10-32-28.jpg","Human",0.999
"CATH46__2019-08-22__10-32-28.jpg","Human",0.999
"CATH46__2019-08-22__10-32-28.jpg","Human",0.304
"CATH46__2019-08-22__10-32-28.jpg","Human",0.122
"CATH46__2019-08-22__10-32-29.jpg","Human",0.995
"CATH46__2019-08-22__10-32-29.jpg","Human",0.99
"CATH46__2019-08-22__10-32-29.jpg","Human",0.813
"CATH46__2019-08-22__10-32-29.jpg","Human",0.183
"CATH46__2019-08-22__10-32-30.jpg","Human",0.998
"CATH46__2019-08-22__10-32-30.jpg","Human",0.851
"CATH46__2019-08-22__10-32-30.jpg","Human",0.496
"CATH46__2019-08-22__10-32-30.jpg","Human",0.244
"CATH46__2019-08-22__10-32-30.jpg","Human",0.152
"CATH46__2019-08-22__10-32-32.jpg","Human",0.998
"CATH46__2019-08-22__10-32-32.jpg","Human",0.994
"CATH46__2019-08-22__10-32-32.jpg","Human",0.215
"CATH46__2019-08-22__10-32-32.jpg","Human",0.171
"CATH46__2019-08-22__10-32-32.jpg","Human",0.146
"CATH46__2019-08-22__10-32-32.jpg","Human",0.119
"CATH46__2019-08-22__10-32-33.jpg","Human",0.996
"CATH46__2019-08-22__10-32-33.jpg","Human",0.898
"CATH46__2019-08-22__10-32-33.jpg","Human",0.249
"CATH46__2019-08-22__10-32-33.jpg","Human",0.235
"CATH46__2019-08-22__10-32-33.jpg","Human",0.139
"CATH46__2019-08-22__10-32-33.jpg","Human",0.105
"CATH46__2019-08-22__10-32-34.jpg","Human",0.987
"CATH46__2019-08-22__10-32-34.jpg","Human",0.987
"CATH46__2019-08-22__10-32-34.jpg","Human",0.98
"CATH46__2019-08-22__10-32-34.jpg","Human",0.212
"CATH46__2019-08-22__10-32-36.jpg","Human",0.997
"CATH46__2019-08-22__10-32-38.jpg","Blank",0
"CATH46__2019-08-22__10-32-38.jpg","Blank",0
"CATH46__2019-08-22__10-34-41.jpg","Human",0.998
"CATH46__2019-08-22__10-34-41.jpg","Human",0.756
"CATH46__2019-08-22__10-34-43.jpg","Human",0.999
"CATH46__2019-08-22__10-34-44.jpg","Human",0.999
"CATH46__2019-08-22__10-34-46.jpg","Human",0.999
"CATH46__2019-08-22__10-34-47.jpg","Blank",0
"CATH46__2019-08-22__10-34-47.jpg","Blank",0
"CATH46__2019-08-22__12-00-00.jpg","Blank",0
"CATH46__2019-08-22__12-00-00.jpg","Blank",0
"CATH46__2019-08-22__22-32-19.jpg","Animal",0.997
"CATH46__2019-08-22__22-32-20.jpg","Animal",0.999
"CATH46__2019-08-22__22-32-26.jpg","Animal",0.997
"CATH46__2019-08-22__22-32-30.jpg","Animal",0.996
"CATH46__2019-08-23__12-00-00.jpg","Blank",0
"CATH46__2019-08-23__12-00-00.jpg","Blank",0
"CATH46__2019-08-24__12-00-00.jpg","Blank",0
"CATH46__2019-08-24__12-00-00.jpg","Blank",0
"CATH46__2019-08-25__12-00-00.jpg","Blank",0
"CATH46__2019-08-25__12-00-00.jpg","Blank",0
"CATH46__2019-08-26__12-00-00.jpg","Blank",0
"CATH46__2019-08-26__12-00-00.jpg","Blank",0
"CATH46__2019-08-27__12-00-00.jpg","Blank",0
"CATH46__2019-08-27__12-00-00.jpg","Blank",0
"CATH46__2019-08-28__06-44-16.jpg","Animal",0.999
"CATH46__2019-08-28__06-44-16.jpg","Human",0.108
"CATH46__2019-08-28__06-44-18.jpg","Animal",0.997
"CATH46__2019-08-28__12-00-00.jpg","Blank",0
"CATH46__2019-08-28__12-00-00.jpg","Blank",0
"CATH46__2019-08-29__12-00-00.jpg","Blank",0
"CATH46__2019-08-29__12-00-00.jpg","Blank",0
"CATH46__2019-08-30__12-00-00.jpg","Blank",0
"CATH46__2019-08-30__12-00-00.jpg","Blank",0
"CATH46__2019-08-31__12-00-00.jpg","Blank",0
"CATH46__2019-08-31__12-00-00.jpg","Blank",0
"CATH46__2019-09-01__12-00-00.jpg","Blank",0
"CATH46__2019-09-01__12-00-00.jpg","Blank",0
"CATH46__2019-09-02__12-00-00.jpg","Blank",0
"CATH46__2019-09-02__12-00-00.jpg","Blank",0
"CATH46__2019-09-03__04-52-38.jpg","Animal",0.439
"CATH46__2019-09-03__12-00-00.jpg","Blank",0
"CATH46__2019-09-03__12-00-00.jpg","Blank",0
"CATH46__2019-09-04__12-00-00.jpg","Blank",0
"CATH46__2019-09-04__12-00-00.jpg","Blank",0
"CATH46__2019-09-04__19-55-55.jpg","Animal",0.995
"CATH46__2019-09-05__12-00-00.jpg","Blank",0
"CATH46__2019-09-05__12-00-00.jpg","Blank",0
"CATH46__2019-09-06__12-00-00.jpg","Blank",0
"CATH46__2019-09-06__12-00-00.jpg","Blank",0
"CATH46__2019-09-07__12-00-00.jpg","Blank",0
"CATH46__2019-09-07__12-00-00.jpg","Blank",0
"CATH46__2019-09-08__12-00-00.jpg","Blank",0
"CATH46__2019-09-08__12-00-00.jpg","Blank",0
"CATH46__2019-09-09__12-00-00.jpg","Blank",0
"CATH46__2019-09-09__12-00-00.jpg","Blank",0
"CATH46__2019-09-10__12-00-00.jpg","Blank",0
"CATH46__2019-09-10__12-00-00.jpg","Blank",0
"CATH46__2019-09-11__12-00-00.jpg","Blank",0
"CATH46__2019-09-11__12-00-00.jpg","Blank",0
"CATH46__2019-09-12__12-00-00.jpg","Blank",0
"CATH46__2019-09-12__12-00-00.jpg","Blank",0
"CATH46__2019-09-13__05-02-37.jpg","Blank",0
"CATH46__2019-09-13__05-02-37.jpg","Blank",0
"CATH46__2019-09-13__12-00-00.jpg","Blank",0
"CATH46__2019-09-13__12-00-00.jpg","Blank",0
"CATH46__2019-09-14__12-00-00.jpg","Blank",0
"CATH46__2019-09-14__12-00-00.jpg","Blank",0
"CATH46__2019-09-14__12-09-12.jpg","Animal",0.999
"CATH46__2019-09-14__12-09-13.jpg","Animal",0.999
"CATH46__2019-09-14__12-09-15.jpg","Animal",0.999
"CATH46__2019-09-14__12-09-16.jpg","Animal",0.999
"CATH46__2019-09-14__12-09-19.jpg","Animal",0.999
"CATH46__2019-09-14__12-09-20.jpg","Animal",0.998
"CATH46__2019-09-15__12-00-00.jpg","Blank",0
"CATH46__2019-09-15__12-00-00.jpg","Blank",0
"CATH46__2019-09-16__12-00-00.jpg","Blank",0
"CATH46__2019-09-16__12-00-00.jpg","Blank",0
"CATH46__2019-09-17__12-00-00.jpg","Blank",0
"CATH46__2019-09-17__12-00-00.jpg","Blank",0
"CATH46__2019-09-18__12-00-00.jpg","Blank",0
"CATH46__2019-09-18__12-00-00.jpg","Blank",0
"CATH46__2019-09-19__12-00-00.jpg","Blank",0
"CATH46__2019-09-19__12-00-00.jpg","Blank",0
"CATH46__2019-09-19__20-10-14.jpg","Animal",0.995
"CATH46__2019-09-20__01-11-19.jpg","Blank",0
"CATH46__2019-09-20__01-11-19.jpg","Blank",0
"CATH46__2019-09-20__01-11-36.jpg","Blank",0
"CATH46__2019-09-20__01-11-36.jpg","Blank",0
"CATH46__2019-09-20__12-00-00.jpg","Blank",0
"CATH46__2019-09-20__12-00-00.jpg","Blank",0
"CATH46__2019-09-21__12-00-00.jpg","Blank",0
"CATH46__2019-09-21__12-00-00.jpg","Blank",0
"CATH46__2019-09-22__03-04-09.jpg","Animal",0.989
"CATH46__2019-09-22__12-00-00.jpg","Blank",0
"CATH46__2019-09-22__12-00-00.jpg","Blank",0
"CATH46__2019-09-23__12-00-00.jpg","Blank",0
"CATH46__2019-09-23__12-00-00.jpg","Blank",0
"CATH46__2019-09-24__12-00-00.jpg","Blank",0
"CATH46__2019-09-24__12-00-00.jpg","Blank",0
"CATH46__2019-09-25__12-00-00.jpg","Blank",0
"CATH46__2019-09-25__12-00-00.jpg","Blank",0
"CATH46__2019-09-26__12-00-00.jpg","Blank",0
"CATH46__2019-09-26__12-00-00.jpg","Blank",0
"CATH46__2019-09-27__12-00-00.jpg","Blank",0
"CATH46__2019-09-27__12-00-00.jpg","Blank",0
"CATH46__2019-09-28__12-00-00.jpg","Animal",0.744
"CATH46__2019-09-29__12-00-00.jpg","Animal",0.863
"CATH46__2019-09-29__12-00-00.jpg","Human",0.174
"CATH46__2019-09-30__12-00-00.jpg","Animal",0.847
"CATH46__2019-09-30__12-00-00.jpg","Animal",0.189
"CATH46__2019-10-01__12-00-00.jpg","Animal",0.551
"CATH46__2019-10-01__12-00-00.jpg","Animal",0.36
"CATH46__2019-10-01__12-00-00.jpg","Animal",0.16
"CATH46__2019-10-01__12-00-00.jpg","Animal",0.143
"CATH46__2019-10-02__12-00-00.jpg","Blank",0
"CATH46__2019-10-02__12-00-00.jpg","Blank",0
"CATH46__2019-10-03__12-00-00.jpg","Blank",0
"CATH46__2019-10-03__12-00-00.jpg","Blank",0
"CATH46__2019-10-04__12-00-00.jpg","Blank",0
"CATH46__2019-10-04__12-00-00.jpg","Blank",0
"CATH46__2019-10-05__12-00-00.jpg","Blank",0
"CATH46__2019-10-05__12-00-00.jpg","Blank",0
"CATH46__2019-10-06__12-00-00.jpg","Blank",0
"CATH46__2019-10-06__12-00-00.jpg","Blank",0
"CATH46__2019-10-07__12-00-00.jpg","Blank",0
"CATH46__2019-10-07__12-00-00.jpg","Blank",0
"CATH46__2019-10-08__12-00-00.jpg","Animal",0.613
