"file","cat","conf"
"CATH20__2020-07-08__11-17-05.jpg","Human",0.895
"CATH20__2020-07-08__11-17-05.jpg","Vehicle",0.262
"CATH20__2020-07-08__11-17-06.jpg","Human",0.96
"CATH20__2020-07-08__11-17-06.jpg","Vehicle",0.304
"CATH20__2020-07-08__11-17-08.jpg","Human",0.91
"CATH20__2020-07-08__11-17-08.jpg","Vehicle",0.352
"CATH20__2020-07-08__11-17-08.jpg","Human",0.243
"CATH20__2020-07-08__11-17-09.jpg","Human",0.928
"CATH20__2020-07-08__11-17-09.jpg","Vehicle",0.265
"CATH20__2020-07-08__11-17-10.jpg","Human",0.935
"CATH20__2020-07-08__11-17-10.jpg","Vehicle",0.141
"CATH20__2020-07-08__11-17-12.jpg","Vehicle",0.907
"CATH20__2020-07-08__11-17-12.jpg","Human",0.72
"CATH20__2020-07-08__11-17-13.jpg","Human",0.75
"CATH20__2020-07-08__11-17-13.jpg","Vehicle",0.38
"CATH20__2020-07-08__11-17-15.jpg","Vehicle",0.787
"CATH20__2020-07-08__11-17-15.jpg","Human",0.64
"CATH20__2020-07-08__11-17-15.jpg","Animal",0.101
"CATH20__2020-07-08__11-17-17.jpg","Animal",0.969
"CATH20__2020-07-08__11-17-17.jpg","Human",0.593
"CATH20__2020-07-08__11-17-17.jpg","Human",0.149
"CATH20__2020-07-08__11-17-19.jpg","Human",0.989
"CATH20__2020-07-08__11-17-21.jpg","Human",0.969
"CATH20__2020-07-08__11-17-23.jpg","Human",0.987
"CATH20__2020-07-08__11-17-23.jpg","Vehicle",0.208
"CATH20__2020-07-08__11-17-24.jpg","Human",0.983
"CATH20__2020-07-08__11-17-24.jpg","Human",0.139
"CATH20__2020-07-08__11-17-25.jpg","Human",0.898
"CATH20__2020-07-08__11-17-25.jpg","Animal",0.384
"CATH20__2020-07-08__11-17-25.jpg","Vehicle",0.105
"CATH20__2020-07-08__11-17-27.jpg","Human",0.946
"CATH20__2020-07-08__11-17-27.jpg","Vehicle",0.333
"CATH20__2020-07-08__11-17-29.jpg","Human",0.828
"CATH20__2020-07-08__11-17-29.jpg","Vehicle",0.464
"CATH20__2020-07-08__11-17-29.jpg","Animal",0.41
"CATH20__2020-07-08__11-17-29.jpg","Human",0.108
"CATH20__2020-07-08__11-17-30.jpg","Human",0.931
"CATH20__2020-07-08__11-17-30.jpg","Vehicle",0.79
"CATH20__2020-07-08__11-17-30.jpg","Human",0.105
"CATH20__2020-07-08__11-17-31.jpg","Human",0.922
"CATH20__2020-07-08__11-17-31.jpg","Vehicle",0.682
"CATH20__2020-07-08__11-17-32.jpg","Human",0.944
"CATH20__2020-07-08__11-17-32.jpg","Vehicle",0.548
"CATH20__2020-07-08__11-17-34.jpg","Human",0.983
"CATH20__2020-07-08__11-17-34.jpg","Human",0.273
"CATH20__2020-07-08__11-17-34.jpg","Vehicle",0.118
"CATH20__2020-07-08__11-17-36.jpg","Human",0.929
"CATH20__2020-07-08__11-17-36.jpg","Vehicle",0.196
"CATH20__2020-07-08__11-17-37.jpg","Human",0.99
"CATH20__2020-07-08__11-17-37.jpg","Vehicle",0.52
"CATH20__2020-07-08__11-17-37.jpg","Animal",0.1
"CATH20__2020-07-08__11-17-39.jpg","Human",0.954
"CATH20__2020-07-08__11-17-39.jpg","Animal",0.413
"CATH20__2020-07-08__11-17-39.jpg","Vehicle",0.123
"CATH20__2020-07-08__11-17-42.jpg","Human",0.909
"CATH20__2020-07-08__11-17-42.jpg","Animal",0.433
"CATH20__2020-07-08__11-17-42.jpg","Vehicle",0.191
"CATH20__2020-07-08__11-17-43.jpg","Human",0.954
"CATH20__2020-07-08__11-17-43.jpg","Vehicle",0.373
