"file","cat","conf"
"CATH11__2019-07-03__09-06-10.jpg","Human",0.999
"CATH11__2019-07-03__09-06-12.jpg","Human",0.999
"CATH11__2019-07-03__09-06-15.jpg","Human",0.999
"CATH11__2019-07-03__09-06-15.jpg","Human",0.371
"CATH11__2019-07-03__09-06-17.jpg","Human",0.999
"CATH11__2019-07-03__09-06-17.jpg","Human",0.412
"CATH11__2019-07-03__09-06-41.jpg","Human",0.999
"CATH11__2019-07-03__09-06-41.jpg","Human",0.951
"CATH11__2019-07-03__09-06-41.jpg","Human",0.811
"CATH11__2019-07-03__09-06-42.jpg","Human",0.998
"CATH11__2019-07-03__09-06-44.jpg","Human",0.997
"CATH11__2019-07-03__09-06-44.jpg","Human",0.995
"CATH11__2019-07-03__09-06-44.jpg","Human",0.541
"CATH11__2019-07-03__09-06-45.jpg","Human",0.999
"CATH11__2019-07-03__09-06-47.jpg","Human",0.999
"CATH11__2019-07-03__09-06-47.jpg","Animal",0.775
"CATH11__2019-07-03__09-06-49.jpg","Human",0.999
"CATH11__2019-07-03__09-06-49.jpg","Animal",0.698
"CATH11__2019-07-03__09-06-51.jpg","Human",0.998
"CATH11__2019-07-03__09-06-51.jpg","Animal",0.887
"CATH11__2019-07-03__09-06-52.jpg","Animal",0.936
"CATH11__2019-07-03__09-06-52.jpg","Animal",0.163
"CATH11__2019-07-03__09-06-54.jpg","Animal",0.929
"CATH11__2019-07-03__09-06-54.jpg","Animal",0.125
"CATH11__2019-07-03__09-07-02.jpg","Human",0.999
"CATH11__2019-07-03__09-07-04.jpg","Animal",0.12
"CATH11__2019-07-03__12-00-00.jpg","Animal",0.166
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.913
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.268
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.225
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.192
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.136
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.108
"CATH11__2019-07-04__12-00-00.jpg","Animal",0.101
"CATH11__2019-07-05__02-02-52.jpg","Blank",0
"CATH11__2019-07-05__02-02-52.jpg","Blank",0
"CATH11__2019-07-05__03-31-22.jpg","Animal",0.991
"CATH11__2019-07-05__03-31-22.jpg","Animal",0.226
"CATH11__2019-07-05__03-31-22.jpg","Animal",0.209
"CATH11__2019-07-05__03-31-22.jpg","Animal",0.186
"CATH11__2019-07-05__12-00-00.jpg","Blank",0
"CATH11__2019-07-05__12-00-00.jpg","Blank",0
"CATH11__2019-07-06__12-00-00.jpg","Blank",0
"CATH11__2019-07-06__12-00-00.jpg","Blank",0
"CATH11__2019-07-06__19-35-49.jpg","Animal",0.997
"CATH11__2019-07-06__19-35-52.jpg","Animal",0.99
"CATH11__2019-07-06__19-35-53.jpg","Animal",0.997
"CATH11__2019-07-07__00-49-37.jpg","Animal",0.768
"CATH11__2019-07-07__12-00-00.jpg","Blank",0
"CATH11__2019-07-07__12-00-00.jpg","Blank",0
"CATH11__2019-07-08__00-57-57.jpg","Animal",0.975
"CATH11__2019-07-08__01-38-07.jpg","Animal",0.988
"CATH11__2019-07-08__01-38-07.jpg","Animal",0.132
"CATH11__2019-07-08__01-38-07.jpg","Animal",0.119
"CATH11__2019-07-08__01-38-07.jpg","Animal",0.102
"CATH11__2019-07-08__12-00-00.jpg","Blank",0
"CATH11__2019-07-08__12-00-00.jpg","Blank",0
"CATH11__2019-07-08__23-21-31.jpg","Blank",0
"CATH11__2019-07-08__23-21-31.jpg","Blank",0
"CATH11__2019-07-09__12-00-00.jpg","Animal",0.183
"CATH11__2019-07-10__09-24-33.jpg","Animal",0.997
"CATH11__2019-07-10__09-24-35.jpg","Blank",0
"CATH11__2019-07-10__09-24-35.jpg","Blank",0
"CATH11__2019-07-10__11-20-56.jpg","Animal",0.966
"CATH11__2019-07-10__11-21-49.jpg","Animal",0.999
"CATH11__2019-07-10__11-21-49.jpg","Animal",0.168
"CATH11__2019-07-10__11-21-50.jpg","Animal",0.996
"CATH11__2019-07-10__11-21-50.jpg","Animal",0.875
"CATH11__2019-07-10__11-21-52.jpg","Animal",0.112
"CATH11__2019-07-10__11-25-39.jpg","Animal",0.149
"CATH11__2019-07-10__11-25-39.jpg","Animal",0.125
"CATH11__2019-07-10__11-26-36.jpg","Blank",0
"CATH11__2019-07-10__11-26-36.jpg","Blank",0
"CATH11__2019-07-10__11-29-34.jpg","Animal",0.998
"CATH11__2019-07-10__11-29-34.jpg","Animal",0.109
"CATH11__2019-07-10__11-29-44.jpg","Animal",0.248
"CATH11__2019-07-10__12-00-00.jpg","Animal",0.202
"CATH11__2019-07-10__12-36-37.jpg","Animal",0.192
"CATH11__2019-07-11__12-00-00.jpg","Animal",0.852
"CATH11__2019-07-12__00-20-28.jpg","Animal",0.998
"CATH11__2019-07-12__02-13-24.jpg","Animal",0.999
"CATH11__2019-07-12__12-00-00.jpg","Animal",0.467
"CATH11__2019-07-12__12-00-00.jpg","Animal",0.283
