"file","cat","conf"
"CATH45__2019-08-22__09-04-01.jpg","Human",0.998
"CATH45__2019-08-22__09-04-01.jpg","Animal",0.979
"CATH45__2019-08-22__09-04-01.jpg","Animal",0.177
"CATH45__2019-08-22__09-04-05.jpg","Human",0.987
"CATH45__2019-08-22__09-04-05.jpg","Animal",0.977
"CATH45__2019-08-22__09-04-06.jpg","Human",0.999
"CATH45__2019-08-22__09-04-06.jpg","Human",0.991
"CATH45__2019-08-22__09-04-06.jpg","Animal",0.522
"CATH45__2019-08-22__09-04-06.jpg","Human",0.3
"CATH45__2019-08-22__09-04-06.jpg","Human",0.22
"CATH45__2019-08-22__09-04-06.jpg","Human",0.166
"CATH45__2019-08-22__09-04-08.jpg","Human",0.999
"CATH45__2019-08-22__09-04-08.jpg","Human",0.992
"CATH45__2019-08-22__09-04-08.jpg","Human",0.201
"CATH45__2019-08-22__09-04-11.jpg","Human",0.999
"CATH45__2019-08-22__09-04-11.jpg","Human",0.982
"CATH45__2019-08-22__09-04-11.jpg","Human",0.76
"CATH45__2019-08-22__09-04-12.jpg","Human",0.999
"CATH45__2019-08-22__09-04-12.jpg","Human",0.998
"CATH45__2019-08-22__09-04-12.jpg","Human",0.376
"CATH45__2019-08-22__09-04-13.jpg","Human",0.999
"CATH45__2019-08-22__09-04-13.jpg","Human",0.98
"CATH45__2019-08-22__09-04-13.jpg","Human",0.968
"CATH45__2019-08-22__09-04-15.jpg","Human",0.998
"CATH45__2019-08-22__09-04-15.jpg","Human",0.997
"CATH45__2019-08-22__09-04-15.jpg","Animal",0.604
"CATH45__2019-08-22__09-04-15.jpg","Human",0.407
"CATH45__2019-08-22__09-04-18.jpg","Human",0.999
"CATH45__2019-08-22__09-04-18.jpg","Human",0.2
"CATH45__2019-08-22__09-04-22.jpg","Human",0.999
"CATH45__2019-08-22__09-04-23.jpg","Human",0.999
"CATH45__2019-08-22__09-04-24.jpg","Human",0.999
"CATH45__2019-08-22__09-04-26.jpg","Human",0.999
"CATH45__2019-08-22__09-04-27.jpg","Human",0.999
"CATH45__2019-08-22__09-04-28.jpg","Human",0.999
"CATH45__2019-08-22__09-04-30.jpg","Human",0.999
"CATH45__2019-08-22__09-04-31.jpg","Human",0.999
"CATH45__2019-08-22__09-04-35.jpg","Human",0.998
"CATH45__2019-08-22__09-04-36.jpg","Human",0.998
"CATH45__2019-08-22__09-04-38.jpg","Human",0.998
"CATH45__2019-08-22__09-04-39.jpg","Human",0.998
"CATH45__2019-08-22__09-04-40.jpg","Human",0.998
"CATH45__2019-08-22__09-04-42.jpg","Human",0.998
"CATH45__2019-08-22__09-04-43.jpg","Human",0.999
"CATH45__2019-08-22__09-04-43.jpg","Human",0.125
"CATH45__2019-08-22__09-04-45.jpg","Human",0.997
"CATH45__2019-08-22__09-04-45.jpg","Human",0.455
"CATH45__2019-08-22__09-04-45.jpg","Human",0.358
"CATH45__2019-08-22__09-04-48.jpg","Human",0.999
"CATH45__2019-08-22__09-04-50.jpg","Human",0.933
"CATH45__2019-08-22__09-04-50.jpg","Animal",0.595
"CATH45__2019-08-22__09-04-50.jpg","Human",0.376
"CATH45__2019-08-22__09-04-50.jpg","Human",0.23
"CATH45__2019-08-22__09-04-50.jpg","Human",0.134
"CATH45__2019-08-22__09-04-50.jpg","Animal",0.104
"CATH45__2019-08-22__09-04-51.jpg","Human",0.987
"CATH45__2019-08-22__09-04-53.jpg","Human",0.991
"CATH45__2019-08-22__09-04-54.jpg","Human",0.955
"CATH45__2019-08-22__09-04-54.jpg","Animal",0.946
"CATH45__2019-08-22__09-04-55.jpg","Human",0.981
"CATH45__2019-08-22__09-04-55.jpg","Human",0.184
"CATH45__2019-08-22__09-04-56.jpg","Human",0.992
"CATH45__2019-08-22__09-04-56.jpg","Animal",0.146
"CATH45__2019-08-22__09-04-58.jpg","Human",0.997
"CATH45__2019-08-22__09-04-58.jpg","Human",0.987
"CATH45__2019-08-22__09-04-58.jpg","Animal",0.138
"CATH45__2019-08-22__09-04-58.jpg","Human",0.118
"CATH45__2019-08-22__09-05-00.jpg","Human",0.996
"CATH45__2019-08-22__09-05-00.jpg","Human",0.936
"CATH45__2019-08-22__09-05-00.jpg","Human",0.769
"CATH45__2019-08-22__09-05-00.jpg","Human",0.678
"CATH45__2019-08-22__09-05-03.jpg","Human",0.986
"CATH45__2019-08-22__09-05-03.jpg","Human",0.862
"CATH45__2019-08-22__09-05-03.jpg","Human",0.166
"CATH45__2019-08-22__09-05-03.jpg","Animal",0.112
"CATH45__2019-08-22__09-05-04.jpg","Human",0.995
"CATH45__2019-08-22__09-05-08.jpg","Human",0.995
"CATH45__2019-08-22__09-05-08.jpg","Human",0.992
"CATH45__2019-08-22__09-05-08.jpg","Human",0.227
"CATH45__2019-08-22__09-05-08.jpg","Human",0.192
"CATH45__2019-08-22__09-05-08.jpg","Human",0.118
"CATH45__2019-08-22__09-05-08.jpg","Animal",0.103
"CATH45__2019-08-22__09-05-11.jpg","Human",0.994
"CATH45__2019-08-22__09-05-11.jpg","Human",0.833
"CATH45__2019-08-22__09-05-11.jpg","Human",0.147
"CATH45__2019-08-22__09-05-12.jpg","Human",0.995
"CATH45__2019-08-22__09-05-12.jpg","Human",0.992
"CATH45__2019-08-22__09-05-12.jpg","Human",0.398
"CATH45__2019-08-22__09-05-12.jpg","Animal",0.151
"CATH45__2019-08-22__09-05-14.jpg","Human",0.992
"CATH45__2019-08-22__09-05-14.jpg","Human",0.595
"CATH45__2019-08-22__09-05-14.jpg","Animal",0.47
"CATH45__2019-08-22__09-05-14.jpg","Human",0.403
"CATH45__2019-08-22__09-05-14.jpg","Animal",0.206
"CATH45__2019-08-22__09-05-14.jpg","Animal",0.129
"CATH45__2019-08-22__09-05-17.jpg","Human",0.996
"CATH45__2019-08-22__09-05-17.jpg","Human",0.308
"CATH45__2019-08-22__09-05-17.jpg","Animal",0.104
"CATH45__2019-08-22__09-05-19.jpg","Human",0.996
"CATH45__2019-08-22__09-05-19.jpg","Animal",0.28
"CATH45__2019-08-22__09-05-20.jpg","Human",0.996
"CATH45__2019-08-22__09-05-21.jpg","Human",0.997
"CATH45__2019-08-22__09-05-22.jpg","Human",0.997
"CATH45__2019-08-22__09-05-24.jpg","Human",0.997
"CATH45__2019-08-22__09-05-24.jpg","Human",0.34
"CATH45__2019-08-22__09-05-24.jpg","Animal",0.121
"CATH45__2019-08-22__09-05-35.jpg","Human",0.999
"CATH45__2019-08-22__09-05-35.jpg","Human",0.995
"CATH45__2019-08-22__09-05-35.jpg","Animal",0.224
"CATH45__2019-08-22__09-05-35.jpg","Human",0.194
"CATH45__2019-08-22__09-05-35.jpg","Animal",0.165
"CATH45__2019-08-22__09-05-36.jpg","Human",0.999
"CATH45__2019-08-22__09-05-36.jpg","Human",0.996
"CATH45__2019-08-22__09-05-36.jpg","Human",0.194
"CATH45__2019-08-22__09-05-38.jpg","Human",0.994
"CATH45__2019-08-22__09-05-38.jpg","Human",0.144
"CATH45__2019-08-22__09-05-40.jpg","Human",0.999
"CATH45__2019-08-22__09-05-47.jpg","Human",0.999
"CATH45__2019-08-22__09-05-48.jpg","Human",0.998
"CATH45__2019-08-22__09-05-58.jpg","Human",0.998
"CATH45__2019-08-22__09-06-04.jpg","Human",0.998
"CATH45__2019-08-22__09-06-13.jpg","Human",0.998
"CATH45__2019-08-22__09-06-13.jpg","Human",0.885
"CATH45__2019-08-22__09-06-13.jpg","Animal",0.69
"CATH45__2019-08-22__09-06-13.jpg","Animal",0.477
"CATH45__2019-08-22__09-06-13.jpg","Human",0.22
"CATH45__2019-08-22__09-06-13.jpg","Animal",0.148
"CATH45__2019-08-22__09-06-15.jpg","Human",0.998
"CATH45__2019-08-22__09-06-25.jpg","Human",0.998
"CATH45__2019-08-22__09-06-27.jpg","Human",0.993
"CATH45__2019-08-22__09-06-27.jpg","Animal",0.166
"CATH45__2019-08-22__09-06-27.jpg","Animal",0.14
"CATH45__2019-08-22__09-06-29.jpg","Human",0.999
"CATH45__2019-08-22__09-06-30.jpg","Human",0.998
"CATH45__2019-08-22__09-06-30.jpg","Animal",0.858
"CATH45__2019-08-22__09-06-31.jpg","Human",0.998
"CATH45__2019-08-22__09-06-31.jpg","Human",0.818
"CATH45__2019-08-22__09-06-31.jpg","Human",0.721
"CATH45__2019-08-22__09-06-31.jpg","Human",0.341
"CATH45__2019-08-22__09-06-32_1.jpg","Human",0.999
"CATH45__2019-08-22__09-06-32_1.jpg","Human",0.998
"CATH45__2019-08-22__09-06-32_1.jpg","Human",0.221
"CATH45__2019-08-22__09-06-32_2.jpg","Human",0.998
"CATH45__2019-08-22__09-06-32_2.jpg","Human",0.998
"CATH45__2019-08-22__09-06-34.jpg","Human",0.999
"CATH45__2019-08-22__09-06-34.jpg","Human",0.909
"CATH45__2019-08-22__09-06-34.jpg","Human",0.427
"CATH45__2019-08-22__09-06-34.jpg","Human",0.103
"CATH45__2019-08-22__09-06-35.jpg","Human",0.997
"CATH45__2019-08-22__09-06-35.jpg","Human",0.996
"CATH45__2019-08-22__09-06-37.jpg","Human",0.998
"CATH45__2019-08-22__09-06-43.jpg","Human",0.996
"CATH45__2019-08-22__09-06-43.jpg","Human",0.977
"CATH45__2019-08-22__09-06-43.jpg","Human",0.123
"CATH45__2019-08-22__09-06-44.jpg","Human",0.999
"CATH45__2019-08-22__09-06-45.jpg","Human",0.998
"CATH45__2019-08-22__09-06-45.jpg","Human",0.197
"CATH45__2019-08-22__09-06-49.jpg","Human",0.998
"CATH45__2019-08-22__09-06-49.jpg","Animal",0.39
"CATH45__2019-08-22__09-06-49.jpg","Animal",0.299
"CATH45__2019-08-22__09-06-49.jpg","Animal",0.115
"CATH45__2019-08-22__09-06-50.jpg","Human",0.997
"CATH45__2019-08-22__09-06-50.jpg","Human",0.113
"CATH45__2019-08-22__09-06-51.jpg","Human",0.998
"CATH45__2019-08-22__09-06-51.jpg","Human",0.113
"CATH45__2019-08-22__09-06-52.jpg","Human",0.999
"CATH45__2019-08-22__09-06-52.jpg","Animal",0.921
"CATH45__2019-08-22__09-06-54.jpg","Human",0.998
"CATH45__2019-08-22__09-06-54.jpg","Human",0.997
"CATH45__2019-08-22__09-06-54.jpg","Human",0.897
"CATH45__2019-08-22__09-06-54.jpg","Human",0.137
"CATH45__2019-08-22__09-06-55.jpg","Human",0.998
"CATH45__2019-08-22__09-06-55.jpg","Animal",0.99
"CATH45__2019-08-22__09-06-57.jpg","Human",0.998
"CATH45__2019-08-22__09-06-57.jpg","Animal",0.99
"CATH45__2019-08-22__09-07-00.jpg","Human",0.998
"CATH45__2019-08-22__09-07-00.jpg","Animal",0.992
"CATH45__2019-08-22__09-07-01.jpg","Human",0.997
"CATH45__2019-08-22__09-07-01.jpg","Animal",0.991
"CATH45__2019-08-22__09-07-01.jpg","Human",0.824
"CATH45__2019-08-22__09-07-01.jpg","Human",0.742
"CATH45__2019-08-22__09-07-01.jpg","Human",0.59
"CATH45__2019-08-22__09-07-02.jpg","Human",0.995
"CATH45__2019-08-22__09-07-02.jpg","Animal",0.986
"CATH45__2019-08-22__09-07-02.jpg","Animal",0.705
"CATH45__2019-08-22__09-07-02.jpg","Animal",0.344
"CATH45__2019-08-22__09-07-02.jpg","Animal",0.221
"CATH45__2019-08-22__09-07-02.jpg","Human",0.211
"CATH45__2019-08-22__09-07-04.jpg","Human",0.997
"CATH45__2019-08-22__09-07-04.jpg","Animal",0.991
"CATH45__2019-08-22__09-07-10.jpg","Human",0.99
"CATH45__2019-08-22__09-07-10.jpg","Animal",0.983
"CATH45__2019-08-22__09-07-10.jpg","Animal",0.135
"CATH45__2019-08-22__09-07-10.jpg","Human",0.105
"CATH45__2019-08-22__09-07-12.jpg","Human",0.998
"CATH45__2019-08-22__09-07-12.jpg","Animal",0.984
"CATH45__2019-08-22__09-07-13.jpg","Human",0.997
"CATH45__2019-08-22__09-07-14.jpg","Human",0.997
"CATH45__2019-08-22__09-07-14.jpg","Animal",0.83
"CATH45__2019-08-22__09-07-14.jpg","Animal",0.202
"CATH45__2019-08-22__09-07-15.jpg","Human",0.994
"CATH45__2019-08-22__09-07-17.jpg","Human",0.621
"CATH45__2019-08-22__09-07-17.jpg","Animal",0.572
"CATH45__2019-08-22__09-07-18.jpg","Human",0.994
"CATH45__2019-08-22__09-07-20.jpg","Human",0.999
"CATH45__2019-08-22__09-07-21.jpg","Human",0.996
"CATH45__2019-08-22__09-07-24.jpg","Human",0.997
"CATH45__2019-08-22__09-07-25.jpg","Animal",0.994
"CATH45__2019-08-22__09-07-29.jpg","Human",0.998
"CATH45__2019-08-22__09-07-31.jpg","Human",0.983
"CATH45__2019-08-22__09-07-31.jpg","Human",0.174
"CATH45__2019-08-22__09-07-31.jpg","Human",0.116
"CATH45__2019-08-22__09-07-32.jpg","Human",0.995
"CATH45__2019-08-22__09-07-32.jpg","Human",0.871
"CATH45__2019-08-22__09-07-32.jpg","Animal",0.518
"CATH45__2019-08-22__09-07-32.jpg","Human",0.335
"CATH45__2019-08-22__09-07-32.jpg","Animal",0.177
"CATH45__2019-08-22__09-07-34.jpg","Human",0.969
"CATH45__2019-08-22__09-07-35.jpg","Human",0.729
"CATH45__2019-08-22__09-07-35.jpg","Animal",0.388
"CATH45__2019-08-22__09-07-36.jpg","Human",0.956
"CATH45__2019-08-22__09-07-38.jpg","Human",0.986
"CATH45__2019-08-22__09-07-38.jpg","Animal",0.164
"CATH45__2019-08-22__09-07-40.jpg","Human",0.95
"CATH45__2019-08-22__09-07-42.jpg","Human",0.998
"CATH45__2019-08-22__09-07-43.jpg","Human",0.997
"CATH45__2019-08-22__09-07-45.jpg","Human",0.996
"CATH45__2019-08-22__09-07-46.jpg","Human",0.901
"CATH45__2019-08-22__09-07-46.jpg","Animal",0.887
"CATH45__2019-08-22__09-07-48.jpg","Human",0.997
"CATH45__2019-08-22__09-07-50.jpg","Human",0.998
"CATH45__2019-08-22__09-07-52.jpg","Human",0.999
"CATH45__2019-08-22__09-07-53.jpg","Human",0.999
"CATH45__2019-08-22__09-07-55.jpg","Human",0.999
"CATH45__2019-08-22__09-07-57.jpg","Human",0.998
"CATH45__2019-08-22__09-07-58.jpg","Human",0.993
"CATH45__2019-08-22__09-07-59.jpg","Animal",0.925
"CATH45__2019-08-22__09-07-59.jpg","Human",0.684
"CATH45__2019-08-22__09-07-59.jpg","Human",0.114
"CATH45__2019-08-22__09-08-03.jpg","Human",0.998
"CATH45__2019-08-22__09-08-03.jpg","Human",0.282
"CATH45__2019-08-22__09-08-06.jpg","Human",0.998
"CATH45__2019-08-22__09-08-08.jpg","Human",0.999
"CATH45__2019-08-22__09-08-10.jpg","Human",0.998
"CATH45__2019-08-22__09-08-10.jpg","Human",0.979
"CATH45__2019-08-22__09-08-10.jpg","Human",0.935
"CATH45__2019-08-22__09-08-10.jpg","Human",0.244
"CATH45__2019-08-22__09-08-10.jpg","Animal",0.161
"CATH45__2019-08-22__09-08-11.jpg","Human",0.999
"CATH45__2019-08-22__09-08-11.jpg","Animal",0.198
"CATH45__2019-08-22__09-08-11.jpg","Animal",0.128
"CATH45__2019-08-22__09-08-11.jpg","Human",0.106
"CATH45__2019-08-22__09-08-12.jpg","Human",0.999
"CATH45__2019-08-22__09-08-12.jpg","Human",0.979
"CATH45__2019-08-22__09-08-12.jpg","Human",0.239
"CATH45__2019-08-22__09-08-14.jpg","Human",0.938
"CATH45__2019-08-22__09-08-14.jpg","Animal",0.552
"CATH45__2019-08-22__09-08-17.jpg","Human",0.994
"CATH45__2019-08-22__09-08-17.jpg","Human",0.256
"CATH45__2019-08-22__09-08-17.jpg","Animal",0.101
"CATH45__2019-08-22__09-08-19.jpg","Human",0.89
"CATH45__2019-08-22__09-08-19.jpg","Animal",0.408
"CATH45__2019-08-22__09-08-21.jpg","Human",0.991
"CATH45__2019-08-22__09-08-23.jpg","Human",0.993
"CATH45__2019-08-22__09-08-23.jpg","Human",0.217
"CATH45__2019-08-22__09-08-24.jpg","Human",0.892
"CATH45__2019-08-22__09-08-24.jpg","Animal",0.796
"CATH45__2019-08-22__09-08-27.jpg","Human",0.996
"CATH45__2019-08-22__09-08-27.jpg","Human",0.594
"CATH45__2019-08-22__09-08-29.jpg","Human",0.998
"CATH45__2019-08-22__09-08-31.jpg","Human",0.998
"CATH45__2019-08-22__09-08-32.jpg","Blank",0
"CATH45__2019-08-22__09-08-32.jpg","Blank",0
"CATH45__2019-08-22__09-08-33.jpg","Blank",0
"CATH45__2019-08-22__09-08-33.jpg","Blank",0
"CATH45__2019-08-22__09-08-36.jpg","Animal",0.92
