"file","cat","conf"
"CATH15__2020-07-06__15-48-58.jpg","Human",0.997
"CATH15__2020-07-06__15-48-58.jpg","Human",0.973
"CATH15__2020-07-06__15-48-58.jpg","Vehicle",0.925
"CATH15__2020-07-06__15-48-58.jpg","Animal",0.179
"CATH15__2020-07-06__15-48-59.jpg","Human",0.995
"CATH15__2020-07-06__15-49-01.jpg","Human",0.998
"CATH15__2020-07-06__15-49-02.jpg","Human",0.991
"CATH15__2020-07-06__15-49-02.jpg","Human",0.109
"CATH15__2020-07-06__15-49-02.jpg","Human",0.105
"CATH15__2020-07-06__15-49-02.jpg","Human",0.102
"CATH15__2020-07-06__15-49-04.jpg","Animal",0.948
"CATH15__2020-07-06__15-49-04.jpg","Animal",0.515
"CATH15__2020-07-06__15-49-04.jpg","Animal",0.305
"CATH15__2020-07-06__15-49-08.jpg","Human",0.99
"CATH15__2020-07-06__15-49-13.jpg","Human",0.998
"CATH15__2020-07-06__15-49-15.jpg","Human",0.998
"CATH15__2020-07-06__15-49-16.jpg","Human",0.996
"CATH15__2020-07-06__15-49-18.jpg","Human",0.998
"CATH15__2020-07-06__15-49-18.jpg","Human",0.285
"CATH15__2020-07-06__15-49-18.jpg","Human",0.125
"CATH15__2020-07-06__15-49-18.jpg","Human",0.115
"CATH15__2020-07-06__15-49-20.jpg","Human",0.996
"CATH15__2020-07-06__15-49-20.jpg","Human",0.441
"CATH15__2020-07-06__15-49-22.jpg","Human",0.997
"CATH15__2020-07-06__15-49-23.jpg","Human",0.998
"CATH15__2020-07-06__15-49-23.jpg","Human",0.127
"CATH15__2020-07-06__15-49-23.jpg","Human",0.107
"CATH15__2020-07-06__15-49-24.jpg","Human",0.998
"CATH15__2020-07-06__15-49-26.jpg","Human",0.998
"CATH15__2020-07-06__15-49-26.jpg","Human",0.125
"CATH15__2020-07-06__15-49-26.jpg","Human",0.108
"CATH15__2020-07-06__15-49-28.jpg","Human",0.998
"CATH15__2020-07-06__15-49-28.jpg","Human",0.24
"CATH15__2020-07-06__15-49-29.jpg","Human",0.998
