"file","cat","conf"
"CATH12__2020-07-06__10-40-36.jpg","Human",0.996
"CATH12__2020-07-06__10-40-37.jpg","Human",0.996
"CATH12__2020-07-06__10-40-37.jpg","Human",0.107
"CATH12__2020-07-06__10-40-39.jpg","Human",0.997
"CATH12__2020-07-06__10-40-39.jpg","Human",0.2
"CATH12__2020-07-06__10-40-41.jpg","Human",0.985
"CATH12__2020-07-06__10-40-41.jpg","Human",0.137
"CATH12__2020-07-06__10-40-42.jpg","Vehicle",0.999
"CATH12__2020-07-06__10-40-59.jpg","Vehicle",0.999
"CATH12__2020-07-06__10-41-01.jpg","Human",0.917
"CATH12__2020-07-06__10-41-01.jpg","Vehicle",0.895
"CATH12__2020-07-06__10-41-01.jpg","Vehicle",0.803
"CATH12__2020-07-06__10-41-02.jpg","Human",0.944
"CATH12__2020-07-06__10-41-02.jpg","Vehicle",0.906
"CATH12__2020-07-06__10-41-02.jpg","Vehicle",0.627
"CATH12__2020-07-06__10-41-02.jpg","Vehicle",0.456
"CATH12__2020-07-06__10-41-02.jpg","Animal",0.426
"CATH12__2020-07-06__10-41-02.jpg","Human",0.305
"CATH12__2020-07-06__10-41-02.jpg","Vehicle",0.265
"CATH12__2020-07-06__10-41-02.jpg","Human",0.144
"CATH12__2020-07-06__10-41-04.jpg","Vehicle",0.998
"CATH12__2020-07-06__10-41-04.jpg","Human",0.996
"CATH12__2020-07-06__10-41-04.jpg","Human",0.722
"CATH12__2020-07-06__10-41-04.jpg","Vehicle",0.453
"CATH12__2020-07-06__10-41-04.jpg","Vehicle",0.363
"CATH12__2020-07-06__10-41-04.jpg","Vehicle",0.292
"CATH12__2020-07-06__10-42-14.jpg","Human",0.998
"CATH12__2020-07-06__10-42-14.jpg","Vehicle",0.997
"CATH12__2020-07-06__10-42-14.jpg","Vehicle",0.997
"CATH12__2020-07-06__10-42-14.jpg","Vehicle",0.275
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.999
"CATH12__2020-07-06__10-42-15.jpg","Human",0.997
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.514
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.25
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.152
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.15
"CATH12__2020-07-06__10-42-15.jpg","Vehicle",0.103
"CATH12__2020-07-06__10-42-16.jpg","Vehicle",0.999
"CATH12__2020-07-06__10-43-00.jpg","Vehicle",0.999
"CATH12__2020-07-06__10-43-01.jpg","Animal",0.314
"CATH12__2020-07-06__11-04-12.jpg","Vehicle",0.999
"CATH12__2020-07-06__11-04-13.jpg","Vehicle",0.999
"CATH12__2020-07-06__11-04-15.jpg","Animal",0.125
"CATH12__2020-07-06__11-04-21.jpg","Vehicle",0.998
"CATH12__2020-07-06__11-04-21.jpg","Animal",0.683
"CATH12__2020-07-06__11-04-22.jpg","Vehicle",0.999
"CATH12__2020-07-06__11-04-24.jpg","Vehicle",0.999
"CATH12__2020-07-06__11-04-25.jpg","Animal",0.396
"CATH12__2020-07-06__12-00-00.jpg","Animal",0.823
"CATH12__2020-07-06__12-00-00.jpg","Animal",0.145
"CATH12__2020-07-06__13-09-08.jpg","Vehicle",0.999
"CATH12__2020-07-06__13-09-09.jpg","Blank",0
"CATH12__2020-07-06__13-09-09.jpg","Blank",0
"CATH12__2020-07-06__13-11-22.jpg","Animal",0.199
"CATH12__2020-07-06__13-16-10.jpg","Vehicle",0.999
"CATH12__2020-07-06__13-16-10.jpg","Vehicle",0.115
"CATH12__2020-07-06__13-34-17.jpg","Human",0.999
"CATH12__2020-07-06__13-34-17.jpg","Human",0.998
"CATH12__2020-07-06__13-34-18.jpg","Human",0.998
"CATH12__2020-07-06__13-34-18.jpg","Human",0.492
"CATH12__2020-07-06__13-46-05.jpg","Vehicle",0.999
"CATH12__2020-07-06__13-46-07.jpg","Animal",0.481
"CATH12__2020-07-06__13-46-07.jpg","Animal",0.214
"CATH12__2020-07-06__13-46-07.jpg","Animal",0.104
"CATH12__2020-07-06__13-46-52.jpg","Vehicle",0.999
"CATH12__2020-07-06__13-46-53.jpg","Animal",0.448
"CATH12__2020-07-06__13-46-53.jpg","Animal",0.285
"CATH12__2020-07-06__13-49-17.jpg","Human",0.998
"CATH12__2020-07-06__13-49-17.jpg","Animal",0.124
"CATH12__2020-07-06__13-49-18.jpg","Human",0.999
"CATH12__2020-07-06__13-49-21.jpg","Human",0.995
"CATH12__2020-07-06__13-49-21.jpg","Human",0.923
"CATH12__2020-07-06__13-49-21.jpg","Animal",0.169
"CATH12__2020-07-06__13-49-23.jpg","Human",0.999
"CATH12__2020-07-06__13-49-24.jpg","Animal",0.763
"CATH12__2020-07-06__13-49-24.jpg","Animal",0.544
"CATH12__2020-07-06__13-49-24.jpg","Animal",0.22
"CATH12__2020-07-06__13-49-24.jpg","Animal",0.146
"CATH12__2020-07-06__14-17-10.jpg","Vehicle",0.999
"CATH12__2020-07-06__14-17-12.jpg","Animal",0.729
"CATH12__2020-07-06__14-17-12.jpg","Animal",0.27
"CATH12__2020-07-06__14-17-48.jpg","Vehicle",0.999
"CATH12__2020-07-06__14-17-49.jpg","Animal",0.847
"CATH12__2020-07-06__14-17-49.jpg","Animal",0.186
"CATH12__2020-07-06__14-20-23.jpg","Vehicle",0.999
"CATH12__2020-07-06__14-20-25.jpg","Animal",0.293
"CATH12__2020-07-06__14-21-02.jpg","Vehicle",0.999
"CATH12__2020-07-06__14-21-04.jpg","Animal",0.646
"CATH12__2020-07-06__14-21-04.jpg","Animal",0.187
"CATH12__2020-07-06__15-45-56.jpg","Human",0.999
"CATH12__2020-07-06__15-45-58.jpg","Animal",0.303
"CATH12__2020-07-06__15-45-58.jpg","Animal",0.246
"CATH12__2020-07-06__15-46-19.jpg","Human",0.998
"CATH12__2020-07-06__15-46-19.jpg","Animal",0.419
"CATH12__2020-07-06__15-46-19.jpg","Human",0.11
"CATH12__2020-07-06__15-46-21.jpg","Human",0.999
"CATH12__2020-07-06__15-46-21.jpg","Human",0.107
"CATH12__2020-07-06__15-46-22.jpg","Animal",0.951
"CATH12__2020-07-06__15-46-22.jpg","Animal",0.336
