"file","cat","conf"
"CATH26__2019-10-02__11-05-40(1).JPG","Animal",0.651
"CATH26__2019-10-02__11-05-40(1).JPG","Animal",0.247
"CATH26__2019-10-02__11-06-01(1).JPG","Animal",0.528
"CATH26__2019-10-02__11-06-01(1).JPG","Animal",0.163
"CATH26__2019-10-02__11-06-03(2).JPG","Blank",0
"CATH26__2019-10-02__11-06-03(2).JPG","Blank",0
"CATH26__2019-10-02__11-06-04(3).JPG","Animal",0.289
"CATH26__2019-10-02__11-06-06(4).JPG","Blank",0
"CATH26__2019-10-02__11-06-06(4).JPG","Blank",0
"CATH26__2019-10-02__11-06-07(5).JPG","Blank",0
"CATH26__2019-10-02__11-06-07(5).JPG","Blank",0
"CATH26__2019-10-02__11-06-10(6).JPG","Blank",0
"CATH26__2019-10-02__11-06-10(6).JPG","Blank",0
"CATH26__2019-10-02__11-06-47(7).JPG","Animal",0.914
"CATH26__2019-10-02__11-06-47(7).JPG","Human",0.124
"CATH26__2019-10-02__11-09-30(1).JPG","Human",0.687
"CATH26__2019-10-02__11-09-32(2).JPG","Human",0.999
"CATH26__2019-10-02__11-09-33(3).JPG","Human",0.999
"CATH26__2019-10-02__11-09-34(4).JPG","Human",0.999
"CATH26__2019-10-02__11-09-35(5).JPG","Human",0.713
"CATH26__2019-10-02__11-09-35(5).JPG","Animal",0.171
"CATH26__2019-10-02__11-09-35(5).JPG","Human",0.146
"CATH26__2019-10-02__11-09-35(5).JPG","Animal",0.134
"CATH26__2019-10-02__11-09-36(6).JPG","Human",0.997
"CATH26__2019-10-02__11-09-36(6).JPG","Human",0.446
"CATH26__2019-10-02__11-09-36(6).JPG","Human",0.444
"CATH26__2019-10-02__11-09-39(7).JPG","Human",0.999
"CATH26__2019-10-02__11-09-39(7).JPG","Vehicle",0.111
"CATH26__2019-10-02__11-09-40(8).JPG","Human",0.98
"CATH26__2019-10-02__11-09-41(9).JPG","Blank",0
"CATH26__2019-10-02__11-09-41(9).JPG","Blank",0
"CATH26__2019-10-02__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-02__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-03__12-00-00(1).JPG","Animal",0.317
"CATH26__2019-10-03__12-00-00(1).JPG","Animal",0.104
"CATH26__2019-10-04__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-04__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-05__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-05__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-06__12-00-00(1).JPG","Animal",0.141
"CATH26__2019-10-07__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-07__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-08__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-08__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-09__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-09__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-10__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-10__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-11__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-11__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-12__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-12__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-13__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-13__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-14__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-14__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-15__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-15__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-16__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-16__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-17__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-17__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-18__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-18__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-19__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-19__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-20__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-20__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-21__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-21__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-22__08-06-57(1).JPG","Blank",0
"CATH26__2019-10-22__08-06-57(1).JPG","Blank",0
"CATH26__2019-10-22__08-07-04(1).JPG","Blank",0
"CATH26__2019-10-22__08-07-04(1).JPG","Blank",0
"CATH26__2019-10-22__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-22__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-22__12-08-44(1).JPG","Animal",0.999
"CATH26__2019-10-22__12-08-46(2).JPG","Animal",0.999
"CATH26__2019-10-22__12-08-47(3).JPG","Animal",0.999
"CATH26__2019-10-22__12-08-49(4).JPG","Animal",0.999
"CATH26__2019-10-22__12-08-50(5).JPG","Animal",0.999
"CATH26__2019-10-22__12-08-52(6).JPG","Animal",0.996
"CATH26__2019-10-22__12-08-54(7).JPG","Animal",0.989
"CATH26__2019-10-22__12-09-00(1).JPG","Blank",0
"CATH26__2019-10-22__12-09-00(1).JPG","Blank",0
"CATH26__2019-10-22__12-09-02(2).JPG","Blank",0
"CATH26__2019-10-22__12-09-02(2).JPG","Blank",0
"CATH26__2019-10-23__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-23__12-00-00(1).JPG","Blank",0
"CATH26__2019-10-23__23-47-40(1).JPG","Animal",0.981
"CATH26__2019-10-23__23-47-50(2).JPG","Animal",0.998
"CATH26__2019-10-23__23-47-51(3).JPG","Animal",0.999
"CATH26__2019-10-23__23-47-52(4).JPG","Animal",0.999
"CATH26__2019-10-23__23-47-54(5).JPG","Animal",0.999
"CATH26__2019-10-23__23-48-17(1).JPG","Animal",0.999
