"file","cat","conf"
"CATH43__2019-08-21__15-41-35.jpg","Human",0.926
"CATH43__2019-08-21__15-41-35.jpg","Human",0.885
"CATH43__2019-08-21__15-41-35.jpg","Human",0.631
"CATH43__2019-08-21__15-41-35.jpg","Human",0.202
"CATH43__2019-08-21__15-41-35.jpg","Human",0.109
"CATH43__2019-08-21__15-41-36.jpg","Animal",0.722
"CATH43__2019-08-21__15-41-46.jpg","Animal",0.616
"CATH43__2019-08-21__15-41-46.jpg","Human",0.348
"CATH43__2019-08-21__15-41-48.jpg","Animal",0.585
"CATH43__2019-08-21__15-41-48.jpg","Human",0.415
"CATH43__2019-08-21__15-41-48.jpg","Vehicle",0.187
"CATH43__2019-08-21__15-41-51.jpg","Animal",0.42
"CATH43__2019-08-21__15-41-51.jpg","Human",0.199
"CATH43__2019-08-21__15-42-06.jpg","Human",0.987
"CATH43__2019-08-21__15-42-09.jpg","Blank",0
"CATH43__2019-08-21__15-42-09.jpg","Blank",0
"CATH43__2019-08-21__15-42-48.jpg","Human",0.999
"CATH43__2019-08-21__15-42-49.jpg","Human",0.972
"CATH43__2019-08-21__15-42-49.jpg","Human",0.942
"CATH43__2019-08-21__15-42-49.jpg","Human",0.241
"CATH43__2019-08-21__15-42-49.jpg","Human",0.145
"CATH43__2019-08-21__15-42-49.jpg","Human",0.138
"CATH43__2019-08-21__15-42-52.jpg","Human",0.996
"CATH43__2019-08-21__15-42-53.jpg","Human",0.999
"CATH43__2019-08-21__15-42-54.jpg","Human",0.999
"CATH43__2019-08-21__15-42-56.jpg","Human",0.995
"CATH43__2019-08-21__15-42-56.jpg","Human",0.976
"CATH43__2019-08-21__15-42-56.jpg","Human",0.148
"CATH43__2019-08-21__15-44-01.jpg","Human",0.999
"CATH43__2019-08-21__15-44-02.jpg","Human",0.999
"CATH43__2019-08-21__15-44-04.jpg","Human",0.999
"CATH43__2019-08-21__15-44-05.jpg","Human",0.999
"CATH43__2019-08-21__15-44-06.jpg","Human",0.999
"CATH43__2019-08-21__15-44-07.jpg","Human",0.999
"CATH43__2019-08-21__15-44-09.jpg","Human",0.999
"CATH43__2019-08-21__15-44-10.jpg","Human",0.999
"CATH43__2019-08-21__15-44-12.jpg","Animal",0.102
"CATH43__2019-08-21__15-46-45.jpg","Human",0.999
"CATH43__2019-08-21__15-46-46.jpg","Human",0.975
"CATH43__2019-08-21__15-46-46.jpg","Animal",0.144
"CATH43__2019-08-21__15-46-55.jpg","Human",0.999
"CATH43__2019-08-21__15-46-56.jpg","Human",0.999
"CATH43__2019-08-21__15-46-57.jpg","Animal",0.134
"CATH43__2019-08-22__12-00-00.jpg","Blank",0
"CATH43__2019-08-22__12-00-00.jpg","Blank",0
"CATH43__2019-08-22__13-02-00.jpg","Human",0.997
"CATH43__2019-08-22__13-02-00.jpg","Human",0.973
"CATH43__2019-08-22__13-02-00.jpg","Human",0.549
"CATH43__2019-08-22__13-02-00.jpg","Human",0.402
"CATH43__2019-08-22__13-02-00.jpg","Human",0.271
"CATH43__2019-08-22__13-02-01.jpg","Human",0.999
"CATH43__2019-08-22__13-02-02.jpg","Blank",0
"CATH43__2019-08-22__13-02-02.jpg","Blank",0
"CATH43__2019-08-22__13-02-04.jpg","Blank",0
"CATH43__2019-08-22__13-02-04.jpg","Blank",0
"CATH43__2019-08-22__13-02-06.jpg","Human",0.998
"CATH43__2019-08-22__13-02-06.jpg","Human",0.124
"CATH43__2019-08-22__13-02-07.jpg","Human",0.998
