"file","cat","conf"
"CATH09__2019-07-02__20-01-36.jpg","Human",0.973
"CATH09__2019-07-02__20-01-36.jpg","Animal",0.144
"CATH09__2019-07-02__20-01-38.jpg","Human",0.997
"CATH09__2019-07-02__20-01-38.jpg","Animal",0.372
"CATH09__2019-07-02__20-01-38.jpg","Human",0.318
"CATH09__2019-07-02__20-01-40.jpg","Human",0.994
"CATH09__2019-07-02__20-01-40.jpg","Animal",0.201
"CATH09__2019-07-02__20-01-40.jpg","Human",0.139
"CATH09__2019-07-02__20-01-41.jpg","Human",0.998
"CATH09__2019-07-02__20-01-41.jpg","Human",0.331
"CATH09__2019-07-02__20-01-41.jpg","Human",0.107
"CATH09__2019-07-02__20-01-42.jpg","Human",0.976
"CATH09__2019-07-02__20-01-42.jpg","Animal",0.607
"CATH09__2019-07-02__20-01-44.jpg","Human",0.995
"CATH09__2019-07-02__20-01-44.jpg","Human",0.108
"CATH09__2019-07-02__20-01-46.jpg","Human",0.999
"CATH09__2019-07-02__20-01-46.jpg","Animal",0.33
"CATH09__2019-07-02__20-01-47.jpg","Animal",0.767
"CATH09__2019-07-02__20-02-48.jpg","Human",0.993
"CATH09__2019-07-02__20-02-49.jpg","Human",0.999
"CATH09__2019-07-02__20-02-51.jpg","Human",0.999
"CATH09__2019-07-02__20-02-54.jpg","Human",0.999
"CATH09__2019-07-02__20-02-55.jpg","Human",0.943
"CATH09__2019-07-02__20-02-55.jpg","Animal",0.578
"CATH09__2019-07-03__12-00-00.jpg","Blank",0
"CATH09__2019-07-03__12-00-00.jpg","Blank",0
"CATH09__2019-07-04__09-27-29.jpg","Animal",0.999
"CATH09__2019-07-04__09-27-31.jpg","Animal",0.204
"CATH09__2019-07-04__12-00-00.jpg","Blank",0
"CATH09__2019-07-04__12-00-00.jpg","Blank",0
"CATH09__2019-07-05__12-00-00.jpg","Animal",0.167
"CATH09__2019-07-06__12-00-00.jpg","Animal",0.428
"CATH09__2019-07-06__12-00-00.jpg","Animal",0.117
"CATH09__2019-07-06__18-22-03.jpg","Animal",0.999
"CATH09__2019-07-07__12-00-00.jpg","Animal",0.636
"CATH09__2019-07-07__20-57-07.jpg","Animal",0.998
"CATH09__2019-07-07__20-57-46.jpg","Blank",0
"CATH09__2019-07-07__20-57-46.jpg","Blank",0
"CATH09__2019-07-07__22-27-51.jpg","Animal",0.995
"CATH09__2019-07-07__22-28-16.jpg","Animal",0.99
"CATH09__2019-07-07__22-28-16.jpg","Animal",0.51
"CATH09__2019-07-07__22-28-16.jpg","Animal",0.123
"CATH09__2019-07-07__22-28-32.jpg","Animal",0.999
"CATH09__2019-07-07__22-28-33.jpg","Animal",0.999
"CATH09__2019-07-07__22-28-39.jpg","Animal",0.999
