"file","cat","conf"
"CATH19__2020-08-12__17-49-32.jpg","Human",0.998
"CATH19__2020-08-12__17-49-32.jpg","Human",0.996
"CATH19__2020-08-12__17-49-33.jpg","Human",0.998
"CATH19__2020-08-12__17-49-33.jpg","Human",0.996
"CATH19__2020-08-12__17-49-34.jpg","Human",0.998
"CATH19__2020-08-12__17-49-34.jpg","Human",0.998
"CATH19__2020-08-12__17-49-36.jpg","Human",0.998
"CATH19__2020-08-12__17-49-36.jpg","Human",0.995
"CATH19__2020-08-12__17-49-37.jpg","Human",0.998
"CATH19__2020-08-12__17-49-37.jpg","Human",0.995
"CATH19__2020-08-12__17-49-38.jpg","Human",0.998
"CATH19__2020-08-12__17-49-38.jpg","Human",0.955
"CATH19__2020-08-12__17-49-38.jpg","Human",0.279
"CATH19__2020-08-12__17-49-38.jpg","Human",0.157
"CATH19__2020-08-12__17-49-38.jpg","Human",0.144
"CATH19__2020-08-12__17-49-38.jpg","Human",0.137
"CATH19__2020-08-12__17-49-38.jpg","Human",0.106
"CATH19__2020-08-12__17-49-39.jpg","Human",0.999
"CATH19__2020-08-12__17-49-39.jpg","Human",0.127
"CATH19__2020-08-12__17-49-39.jpg","Human",0.103
"CATH19__2020-08-12__17-49-41.jpg","Human",0.998
"CATH19__2020-08-12__17-50-11.jpg","Human",0.999
"CATH19__2020-08-12__17-50-13.jpg","Human",0.999
"CATH19__2020-08-12__17-50-14.jpg","Human",0.998
"CATH19__2020-08-12__17-51-42.jpg","Human",0.999
"CATH19__2020-08-12__17-51-43.jpg","Human",0.997
"CATH19__2020-08-12__17-51-43.jpg","Human",0.993
"CATH19__2020-08-12__17-51-43.jpg","Human",0.107
"CATH19__2020-08-12__17-51-44.jpg","Human",0.997
"CATH19__2020-08-12__17-51-44.jpg","Human",0.95
"CATH19__2020-08-12__18-49-25.jpg","Human",0.998
"CATH19__2020-08-12__18-49-25.jpg","Human",0.998
"CATH19__2020-08-12__18-49-27.jpg","Human",0.998
"CATH19__2020-08-12__18-49-28.jpg","Blank",0
"CATH19__2020-08-12__18-49-28.jpg","Blank",0
"CATH19__2020-08-12__19-22-35.jpg","Human",0.999
"CATH19__2020-08-12__19-22-37.jpg","Human",0.999
"CATH19__2020-08-12__19-22-38.jpg","Human",0.996
"CATH19__2020-08-12__20-39-21.jpg","Human",0.998
"CATH19__2020-08-12__20-39-23.jpg","Human",0.999
"CATH19__2020-08-12__20-39-25.jpg","Human",0.998
"CATH19__2020-08-12__20-39-26.jpg","Human",0.999
"CATH19__2020-08-12__20-39-27.jpg","Human",0.996
"CATH19__2020-08-12__21-20-19.jpg","Human",0.996
"CATH19__2020-08-12__21-20-20.jpg","Animal",0.387
"CATH19__2020-08-12__21-20-20.jpg","Animal",0.209
"CATH19__2020-08-12__21-20-20.jpg","Animal",0.122
"CATH19__2020-08-12__22-23-44.jpg","Animal",0.999
"CATH19__2020-08-12__22-23-44.jpg","Animal",0.142
"CATH19__2020-08-12__22-23-46.jpg","Animal",0.999
"CATH19__2020-08-12__22-23-47.jpg","Animal",0.999
"CATH19__2020-08-12__22-23-48.jpg","Animal",0.969
"CATH19__2020-08-13__08-39-20.jpg","Human",0.999
"CATH19__2020-08-13__08-39-22.jpg","Human",0.999
"CATH19__2020-08-13__08-39-23.jpg","Blank",0
"CATH19__2020-08-13__08-39-23.jpg","Blank",0
"CATH19__2020-08-13__08-39-33.jpg","Human",0.999
"CATH19__2020-08-13__08-39-33.jpg","Human",0.138
"CATH19__2020-08-13__08-39-34.jpg","Human",0.999
"CATH19__2020-08-13__08-39-36.jpg","Blank",0
"CATH19__2020-08-13__08-39-36.jpg","Blank",0
"CATH19__2020-08-13__09-02-31.jpg","Human",0.997
"CATH19__2020-08-13__09-02-32.jpg","Human",0.999
"CATH19__2020-08-13__09-02-33.jpg","Human",0.999
"CATH19__2020-08-13__09-02-34.jpg","Human",0.999
"CATH19__2020-08-13__09-02-34.jpg","Human",0.998
"CATH19__2020-08-13__09-02-35.jpg","Human",0.999
"CATH19__2020-08-13__09-02-37.jpg","Blank",0
"CATH19__2020-08-13__09-02-37.jpg","Blank",0
"CATH19__2020-08-13__09-14-56.jpg","Human",0.998
"CATH19__2020-08-13__09-14-58.jpg","Human",0.999
"CATH19__2020-08-13__09-43-56.jpg","Human",0.998
"CATH19__2020-08-13__09-43-57.jpg","Human",0.999
"CATH19__2020-08-13__09-43-58.jpg","Blank",0
"CATH19__2020-08-13__09-43-58.jpg","Blank",0
"CATH19__2020-08-13__09-47-27.jpg","Human",0.997
"CATH19__2020-08-13__09-47-27.jpg","Human",0.515
"CATH19__2020-08-13__09-47-27.jpg","Vehicle",0.23
"CATH19__2020-08-13__09-47-27.jpg","Human",0.176
"CATH19__2020-08-13__09-47-28.jpg","Human",0.998
"CATH19__2020-08-13__09-47-28.jpg","Vehicle",0.927
"CATH19__2020-08-13__09-47-29.jpg","Vehicle",0.992
"CATH19__2020-08-13__09-47-29.jpg","Human",0.523
"CATH19__2020-08-13__09-47-30.jpg","Human",0.996
"CATH19__2020-08-13__09-47-30.jpg","Human",0.159
"CATH19__2020-08-13__09-47-30.jpg","Human",0.121
"CATH19__2020-08-13__09-47-30.jpg","Human",0.105
"CATH19__2020-08-13__09-47-32_1.jpg","Human",0.999
"CATH19__2020-08-13__09-47-32_2.jpg","Human",0.998
"CATH19__2020-08-13__09-47-32_2.jpg","Human",0.343
"CATH19__2020-08-13__09-47-32_2.jpg","Human",0.211
"CATH19__2020-08-13__10-04-03.jpg","Human",0.999
"CATH19__2020-08-13__10-04-04.jpg","Human",0.999
"CATH19__2020-08-13__10-04-05.jpg","Human",0.998
"CATH19__2020-08-13__10-04-05.jpg","Human",0.998
"CATH19__2020-08-13__10-04-06.jpg","Human",0.998
"CATH19__2020-08-13__10-04-08.jpg","Human",0.998
"CATH19__2020-08-13__10-04-09.jpg","Human",0.999
"CATH19__2020-08-13__10-04-09.jpg","Human",0.998
"CATH19__2020-08-13__10-04-10.jpg","Human",0.999
"CATH19__2020-08-13__10-04-10.jpg","Human",0.997
"CATH19__2020-08-13__10-04-11.jpg","Human",0.999
"CATH19__2020-08-13__10-04-11.jpg","Human",0.998
"CATH19__2020-08-13__10-04-12.jpg","Human",0.999
"CATH19__2020-08-13__10-04-12.jpg","Human",0.998
"CATH19__2020-08-13__10-04-13.jpg","Human",0.999
"CATH19__2020-08-13__10-04-13.jpg","Human",0.999
"CATH19__2020-08-13__10-04-13.jpg","Human",0.994
"CATH19__2020-08-13__10-04-14.jpg","Human",0.999
"CATH19__2020-08-13__10-04-14.jpg","Human",0.998
"CATH19__2020-08-13__10-04-14.jpg","Human",0.997
"CATH19__2020-08-13__10-04-16.jpg","Human",0.999
"CATH19__2020-08-13__10-04-16.jpg","Human",0.998
"CATH19__2020-08-13__10-04-16.jpg","Human",0.997
"CATH19__2020-08-13__10-04-17.jpg","Human",0.998
"CATH19__2020-08-13__10-04-17.jpg","Human",0.997
"CATH19__2020-08-13__10-04-17.jpg","Human",0.846
"CATH19__2020-08-13__10-04-17.jpg","Human",0.329
"CATH19__2020-08-13__10-04-17.jpg","Human",0.262
"CATH19__2020-08-13__10-04-18.jpg","Human",0.998
"CATH19__2020-08-13__10-04-18.jpg","Human",0.997
"CATH19__2020-08-13__10-04-18.jpg","Human",0.996
"CATH19__2020-08-13__10-04-18.jpg","Human",0.211
"CATH19__2020-08-13__10-04-20.jpg","Human",0.998
"CATH19__2020-08-13__10-04-22.jpg","Blank",0
"CATH19__2020-08-13__10-04-22.jpg","Blank",0
"CATH19__2020-08-13__10-10-45.jpg","Human",0.999
"CATH19__2020-08-13__10-10-46.jpg","Human",0.999
"CATH19__2020-08-13__10-10-46.jpg","Human",0.999
"CATH19__2020-08-13__10-10-47.jpg","Human",0.998
"CATH19__2020-08-13__10-10-47.jpg","Human",0.998
"CATH19__2020-08-13__10-10-48.jpg","Human",0.999
"CATH19__2020-08-13__11-04-17.jpg","Human",0.997
"CATH19__2020-08-13__11-04-17.jpg","Human",0.996
"CATH19__2020-08-13__11-04-17.jpg","Human",0.992
"CATH19__2020-08-13__11-04-18.jpg","Human",0.998
