"file","cat","conf"
"CATH29__2020-07-06__11-16-21.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-21.jpg","Human",0.863
"CATH29__2020-07-06__11-16-21.jpg","Animal",0.758
"CATH29__2020-07-06__11-16-21.jpg","Animal",0.503
"CATH29__2020-07-06__11-16-24.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-24.jpg","Human",0.828
"CATH29__2020-07-06__11-16-24.jpg","Animal",0.795
"CATH29__2020-07-06__11-16-24.jpg","Animal",0.603
"CATH29__2020-07-06__11-16-25.jpg","Vehicle",0.999
"CATH29__2020-07-06__11-16-25.jpg","Animal",0.948
"CATH29__2020-07-06__11-16-25.jpg","Animal",0.197
"CATH29__2020-07-06__11-16-25.jpg","Human",0.105
"CATH29__2020-07-06__11-16-27.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-27.jpg","Animal",0.759
"CATH29__2020-07-06__11-16-27.jpg","Human",0.63
"CATH29__2020-07-06__11-16-27.jpg","Animal",0.161
"CATH29__2020-07-06__11-16-27.jpg","Human",0.118
"CATH29__2020-07-06__11-16-28.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-28.jpg","Animal",0.928
"CATH29__2020-07-06__11-16-28.jpg","Human",0.696
"CATH29__2020-07-06__11-16-28.jpg","Animal",0.195
"CATH29__2020-07-06__11-16-28.jpg","Human",0.158
"CATH29__2020-07-06__11-16-29.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-29.jpg","Animal",0.791
"CATH29__2020-07-06__11-16-29.jpg","Human",0.635
"CATH29__2020-07-06__11-16-29.jpg","Human",0.186
"CATH29__2020-07-06__11-16-31.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-31.jpg","Human",0.692
"CATH29__2020-07-06__11-16-31.jpg","Animal",0.643
"CATH29__2020-07-06__11-16-31.jpg","Animal",0.149
"CATH29__2020-07-06__11-16-32.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-32.jpg","Human",0.953
"CATH29__2020-07-06__11-16-32.jpg","Animal",0.339
"CATH29__2020-07-06__11-16-34.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-34.jpg","Animal",0.852
"CATH29__2020-07-06__11-16-34.jpg","Human",0.66
"CATH29__2020-07-06__11-16-34.jpg","Animal",0.168
"CATH29__2020-07-06__11-16-35.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-35.jpg","Human",0.988
"CATH29__2020-07-06__11-16-35.jpg","Animal",0.779
"CATH29__2020-07-06__11-16-36.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-36.jpg","Human",0.995
"CATH29__2020-07-06__11-16-36.jpg","Human",0.283
"CATH29__2020-07-06__11-16-36.jpg","Animal",0.153
"CATH29__2020-07-06__11-16-37.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-37.jpg","Human",0.927
"CATH29__2020-07-06__11-16-37.jpg","Animal",0.401
"CATH29__2020-07-06__11-16-37.jpg","Human",0.272
"CATH29__2020-07-06__11-16-39.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-39.jpg","Animal",0.848
"CATH29__2020-07-06__11-16-39.jpg","Human",0.416
"CATH29__2020-07-06__11-16-41.jpg","Vehicle",0.998
"CATH29__2020-07-06__11-16-41.jpg","Human",0.705
"CATH29__2020-07-06__11-16-41.jpg","Animal",0.582
