"file","cat","conf"
"CATH32__2020-09-29__16-11-56.jpg","Human",0.972
"CATH32__2020-09-29__16-11-56.jpg","Human",0.548
"CATH32__2020-09-29__16-11-56.jpg","Animal",0.273
"CATH32__2020-09-29__16-11-57.jpg","Human",0.998
"CATH32__2020-09-29__16-11-57.jpg","Animal",0.647
"CATH32__2020-09-29__16-11-57.jpg","Human",0.368
"CATH32__2020-09-29__16-11-59.jpg","Human",0.999
"CATH32__2020-09-29__16-11-59.jpg","Animal",0.712
"CATH32__2020-09-29__16-12-01.jpg","Human",0.998
"CATH32__2020-09-29__16-12-01.jpg","Animal",0.613
"CATH32__2020-09-29__16-12-02.jpg","Human",0.999
"CATH32__2020-09-29__16-12-02.jpg","Animal",0.881
"CATH32__2020-09-29__16-12-02.jpg","Animal",0.106
"CATH32__2020-09-29__16-12-05.jpg","Human",0.999
"CATH32__2020-09-29__16-12-05.jpg","Human",0.974
"CATH32__2020-09-29__16-12-05.jpg","Animal",0.727
"CATH32__2020-09-29__16-12-05.jpg","Human",0.549
"CATH32__2020-09-29__16-12-06.jpg","Human",0.999
"CATH32__2020-09-29__16-12-06.jpg","Human",0.999
"CATH32__2020-09-29__16-12-06.jpg","Animal",0.426
"CATH32__2020-09-29__16-12-07.jpg","Human",0.999
"CATH32__2020-09-29__16-12-07.jpg","Human",0.999
"CATH32__2020-09-29__16-12-07.jpg","Animal",0.418
"CATH32__2020-09-29__16-12-09.jpg","Human",0.999
"CATH32__2020-09-29__16-12-09.jpg","Human",0.997
"CATH32__2020-09-29__16-12-09.jpg","Animal",0.821
"CATH32__2020-09-29__16-12-09.jpg","Animal",0.128
"CATH32__2020-09-29__16-12-09.jpg","Human",0.112
"CATH32__2020-09-29__16-12-10.jpg","Human",0.999
"CATH32__2020-09-29__16-12-10.jpg","Human",0.991
"CATH32__2020-09-29__16-12-10.jpg","Animal",0.627
"CATH32__2020-09-29__16-12-10.jpg","Animal",0.387
"CATH32__2020-09-29__16-12-10.jpg","Human",0.371
"CATH32__2020-09-29__16-12-10.jpg","Animal",0.26
"CATH32__2020-09-29__16-12-10.jpg","Human",0.182
"CATH32__2020-09-29__16-12-10.jpg","Human",0.151
"CATH32__2020-09-29__16-12-10.jpg","Animal",0.114
"CATH32__2020-09-29__16-12-12.jpg","Human",0.999
"CATH32__2020-09-29__16-12-12.jpg","Human",0.998
"CATH32__2020-09-29__16-12-12.jpg","Human",0.976
"CATH32__2020-09-29__16-12-12.jpg","Animal",0.546
"CATH32__2020-09-29__16-12-12.jpg","Human",0.193
"CATH32__2020-09-29__16-12-13.jpg","Human",0.999
"CATH32__2020-09-29__16-12-13.jpg","Human",0.999
"CATH32__2020-09-29__16-12-13.jpg","Animal",0.584
