"file","cat","conf"
"CATH36__2019-08-20__10-29-36.jpg","Human",0.981
"CATH36__2019-08-20__10-29-36.jpg","Animal",0.268
"CATH36__2019-08-20__10-29-36.jpg","Animal",0.257
"CATH36__2019-08-20__10-29-38.jpg","Animal",0.383
"CATH36__2019-08-20__10-29-38.jpg","Human",0.18
"CATH36__2019-08-20__10-29-38.jpg","Animal",0.16
"CATH36__2019-08-20__10-29-40.jpg","Animal",0.63
"CATH36__2019-08-20__10-29-40.jpg","Animal",0.214
"CATH36__2019-08-20__10-29-40.jpg","Human",0.117
"CATH36__2019-08-20__10-31-20.jpg","Human",0.997
"CATH36__2019-08-20__10-31-20.jpg","Human",0.956
"CATH36__2019-08-20__10-31-20.jpg","Human",0.273
"CATH36__2019-08-20__10-31-20.jpg","Human",0.165
"CATH36__2019-08-20__10-31-21.jpg","Human",0.955
"CATH36__2019-08-20__10-31-21.jpg","Animal",0.182
"CATH36__2019-08-20__10-31-27.jpg","Human",0.998
"CATH36__2019-08-20__10-31-29.jpg","Human",0.998
"CATH36__2019-08-20__10-31-29.jpg","Human",0.286
"CATH36__2019-08-20__10-31-31.jpg","Human",0.999
"CATH36__2019-08-20__10-31-33.jpg","Human",0.998
"CATH36__2019-08-20__10-31-34.jpg","Human",0.999
"CATH36__2019-08-20__10-31-36.jpg","Animal",0.367
"CATH36__2019-08-20__10-31-37.jpg","Animal",0.66
"CATH36__2019-08-20__10-33-30.jpg","Human",0.943
"CATH36__2019-08-20__10-33-30.jpg","Animal",0.41
"CATH36__2019-08-20__10-33-32.jpg","Human",0.999
"CATH36__2019-08-20__10-33-32.jpg","Animal",0.399
"CATH36__2019-08-20__10-33-35.jpg","Human",0.999
"CATH36__2019-08-20__10-33-35.jpg","Human",0.641
"CATH36__2019-08-20__10-33-35.jpg","Human",0.284
"CATH36__2019-08-20__10-33-35.jpg","Human",0.151
"CATH36__2019-08-20__10-33-36.jpg","Human",0.997
"CATH36__2019-08-20__10-33-36.jpg","Human",0.867
"CATH36__2019-08-20__10-33-36.jpg","Human",0.843
"CATH36__2019-08-20__10-33-36.jpg","Animal",0.31
"CATH36__2019-08-20__10-33-38.jpg","Human",0.999
"CATH36__2019-08-20__10-33-40.jpg","Human",0.999
"CATH36__2019-08-20__10-33-40.jpg","Human",0.302
"CATH36__2019-08-20__10-33-40.jpg","Human",0.266
"CATH36__2019-08-20__10-33-40.jpg","Human",0.104
"CATH36__2019-08-20__10-33-41.jpg","Human",0.999
"CATH36__2019-08-20__10-33-41.jpg","Human",0.111
"CATH36__2019-08-20__10-33-43.jpg","Animal",0.162
"CATH36__2019-08-20__12-00-00.jpg","Blank",0
"CATH36__2019-08-20__12-00-00.jpg","Blank",0
"CATH36__2019-08-20__12-52-16.jpg","Blank",0
"CATH36__2019-08-20__12-52-16.jpg","Blank",0
"CATH36__2019-08-20__13-12-56.jpg","Animal",0.159
"CATH36__2019-08-20__22-15-56.jpg","Animal",0.999
"CATH36__2019-08-20__22-15-57.jpg","Animal",0.999
"CATH36__2019-08-20__22-16-31.jpg","Animal",0.998
"CATH36__2019-08-21__12-00-00.jpg","Animal",0.264
"CATH36__2019-08-22__12-00-00.jpg","Blank",0
"CATH36__2019-08-22__12-00-00.jpg","Blank",0
"CATH36__2019-08-23__12-00-00.jpg","Blank",0
"CATH36__2019-08-23__12-00-00.jpg","Blank",0
"CATH36__2019-08-24__10-25-40.jpg","Animal",0.999
"CATH36__2019-08-24__10-25-40.jpg","Animal",0.998
"CATH36__2019-08-24__10-25-40.jpg","Animal",0.108
"CATH36__2019-08-24__10-25-41.jpg","Animal",0.998
"CATH36__2019-08-24__10-25-41.jpg","Animal",0.993
"CATH36__2019-08-24__12-00-00.jpg","Blank",0
"CATH36__2019-08-24__12-00-00.jpg","Blank",0
"CATH36__2019-08-25__12-00-00.jpg","Blank",0
"CATH36__2019-08-25__12-00-00.jpg","Blank",0
"CATH36__2019-08-26__12-00-00.jpg","Animal",0.128
"CATH36__2019-08-27__10-20-03.jpg","Animal",0.953
"CATH36__2019-08-27__12-00-00.jpg","Blank",0
"CATH36__2019-08-27__12-00-00.jpg","Blank",0
"CATH36__2019-08-28__12-00-00.jpg","Blank",0
"CATH36__2019-08-28__12-00-00.jpg","Blank",0
"CATH36__2019-08-29__12-00-00.jpg","Animal",0.125
"CATH36__2019-08-29__14-35-53.jpg","Animal",0.433
"CATH36__2019-08-29__14-35-57.jpg","Blank",0
"CATH36__2019-08-29__14-35-57.jpg","Blank",0
"CATH36__2019-08-29__14-36-00.jpg","Blank",0
"CATH36__2019-08-29__14-36-00.jpg","Blank",0
"CATH36__2019-08-30__12-00-00.jpg","Blank",0
"CATH36__2019-08-30__12-00-00.jpg","Blank",0
"CATH36__2019-08-31__12-00-00.jpg","Animal",0.919
"CATH36__2019-09-01__12-00-00.jpg","Blank",0
"CATH36__2019-09-01__12-00-00.jpg","Blank",0
"CATH36__2019-09-02__12-00-00.jpg","Blank",0
"CATH36__2019-09-02__12-00-00.jpg","Blank",0
"CATH36__2019-09-03__12-00-00.jpg","Blank",0
"CATH36__2019-09-03__12-00-00.jpg","Blank",0
"CATH36__2019-09-03__22-07-00.jpg","Animal",0.999
"CATH36__2019-09-03__22-07-01.jpg","Animal",0.999
"CATH36__2019-09-04__12-00-00.jpg","Blank",0
"CATH36__2019-09-04__12-00-00.jpg","Blank",0
"CATH36__2019-09-04__18-10-06.jpg","Animal",0.989
"CATH36__2019-09-05__12-00-00.jpg","Blank",0
"CATH36__2019-09-05__12-00-00.jpg","Blank",0
"CATH36__2019-09-05__21-17-11.jpg","Animal",0.999
"CATH36__2019-09-05__21-17-12.jpg","Animal",0.996
"CATH36__2019-09-05__21-17-21.jpg","Animal",0.998
"CATH36__2019-09-05__21-18-29.jpg","Animal",0.996
"CATH36__2019-09-05__21-19-13.jpg","Animal",0.999
"CATH36__2019-09-05__21-21-32.jpg","Animal",0.997
"CATH36__2019-09-05__21-21-33.jpg","Animal",0.11
"CATH36__2019-09-05__21-21-44.jpg","Animal",0.644
"CATH36__2019-09-05__21-21-48.jpg","Blank",0
"CATH36__2019-09-05__21-21-48.jpg","Blank",0
"CATH36__2019-09-05__21-21-50.jpg","Animal",0.705
"CATH36__2019-09-05__21-21-51.jpg","Blank",0
"CATH36__2019-09-05__21-21-51.jpg","Blank",0
"CATH36__2019-09-05__21-21-58.jpg","Blank",0
"CATH36__2019-09-05__21-21-58.jpg","Blank",0
"CATH36__2019-09-05__21-22-03.jpg","Animal",0.99
"CATH36__2019-09-05__21-22-03.jpg","Animal",0.122
"CATH36__2019-09-05__21-22-11.jpg","Animal",0.998
"CATH36__2019-09-05__21-22-16.jpg","Blank",0
"CATH36__2019-09-05__21-22-16.jpg","Blank",0
"CATH36__2019-09-05__21-22-18.jpg","Blank",0
"CATH36__2019-09-05__21-22-18.jpg","Blank",0
"CATH36__2019-09-05__21-22-21.jpg","Blank",0
"CATH36__2019-09-05__21-22-21.jpg","Blank",0
"CATH36__2019-09-05__21-22-28.jpg","Animal",0.998
"CATH36__2019-09-05__21-22-29.jpg","Animal",0.999
"CATH36__2019-09-05__21-22-30.jpg","Animal",0.999
"CATH36__2019-09-05__21-22-32.jpg","Animal",0.999
"CATH36__2019-09-05__21-22-34.jpg","Animal",0.999
"CATH36__2019-09-05__21-22-36.jpg","Animal",0.794
"CATH36__2019-09-06__10-34-02.jpg","Animal",0.388
"CATH36__2019-09-06__12-00-00.jpg","Blank",0
"CATH36__2019-09-06__12-00-00.jpg","Blank",0
"CATH36__2019-09-07__12-00-00.jpg","Blank",0
"CATH36__2019-09-07__12-00-00.jpg","Blank",0
"CATH36__2019-09-08__12-00-00.jpg","Animal",0.383
"CATH36__2019-09-09__12-00-00.jpg","Animal",0.209
"CATH36__2019-09-10__03-34-11.jpg","Blank",0
"CATH36__2019-09-10__03-34-11.jpg","Blank",0
"CATH36__2019-09-10__03-34-12.jpg","Animal",0.662
"CATH36__2019-09-10__03-53-35.jpg","Animal",0.999
"CATH36__2019-09-10__03-53-37.jpg","Animal",0.999
"CATH36__2019-09-10__03-53-59.jpg","Animal",0.999
"CATH36__2019-09-10__03-54-01.jpg","Animal",0.999
"CATH36__2019-09-10__12-00-00.jpg","Blank",0
"CATH36__2019-09-10__12-00-00.jpg","Blank",0
"CATH36__2019-09-11__12-00-00.jpg","Blank",0
"CATH36__2019-09-11__12-00-00.jpg","Blank",0
"CATH36__2019-09-11__20-16-09.jpg","Animal",0.999
"CATH36__2019-09-12__12-00-00.jpg","Blank",0
"CATH36__2019-09-12__12-00-00.jpg","Blank",0
"CATH36__2019-09-13__12-00-00.jpg","Blank",0
"CATH36__2019-09-13__12-00-00.jpg","Blank",0
"CATH36__2019-09-14__12-00-00.jpg","Animal",0.352
"CATH36__2019-09-15__12-00-00.jpg","Blank",0
"CATH36__2019-09-15__12-00-00.jpg","Blank",0
"CATH36__2019-09-16__12-00-00.jpg","Blank",0
"CATH36__2019-09-16__12-00-00.jpg","Blank",0
"CATH36__2019-09-17__12-00-00.jpg","Blank",0
"CATH36__2019-09-17__12-00-00.jpg","Blank",0
"CATH36__2019-09-18__12-00-00.jpg","Blank",0
"CATH36__2019-09-18__12-00-00.jpg","Blank",0
"CATH36__2019-09-19__12-00-00.jpg","Blank",0
"CATH36__2019-09-19__12-00-00.jpg","Blank",0
"CATH36__2019-09-20__03-21-17.jpg","Blank",0
"CATH36__2019-09-20__03-21-17.jpg","Blank",0
"CATH36__2019-09-20__12-00-00.jpg","Animal",0.289
"CATH36__2019-09-20__17-37-58.jpg","Animal",0.959
"CATH36__2019-09-21__11-23-49.jpg","Animal",0.483
"CATH36__2019-09-21__11-23-49.jpg","Animal",0.121
"CATH36__2019-09-21__12-00-00.jpg","Blank",0
"CATH36__2019-09-21__12-00-00.jpg","Blank",0
"CATH36__2019-09-21__23-04-24.jpg","Animal",0.999
"CATH36__2019-09-22__12-00-00.jpg","Blank",0
"CATH36__2019-09-22__12-00-00.jpg","Blank",0
"CATH36__2019-09-22__20-53-08.jpg","Animal",0.999
"CATH36__2019-09-23__12-00-00.jpg","Blank",0
"CATH36__2019-09-23__12-00-00.jpg","Blank",0
"CATH36__2019-09-24__12-00-00.jpg","Blank",0
"CATH36__2019-09-24__12-00-00.jpg","Blank",0
"CATH36__2019-09-25__03-13-58.jpg","Animal",0.928
"CATH36__2019-09-25__03-14-00.jpg","Animal",0.999
"CATH36__2019-09-25__03-34-54.jpg","Animal",0.999
"CATH36__2019-09-25__03-35-00.jpg","Animal",0.999
"CATH36__2019-09-25__03-35-02.jpg","Animal",0.999
"CATH36__2019-09-25__03-35-12.jpg","Animal",0.999
"CATH36__2019-09-25__03-35-17.jpg","Animal",0.999
"CATH36__2019-09-25__11-50-48.jpg","Blank",0
"CATH36__2019-09-25__11-50-48.jpg","Blank",0
"CATH36__2019-09-25__12-00-00.jpg","Blank",0
"CATH36__2019-09-25__12-00-00.jpg","Blank",0
"CATH36__2019-09-26__12-00-00.jpg","Blank",0
"CATH36__2019-09-26__12-00-00.jpg","Blank",0
"CATH36__2019-09-27__03-36-04.jpg","Animal",0.907
"CATH36__2019-09-27__03-36-04.jpg","Animal",0.17
"CATH36__2019-09-27__12-00-00.jpg","Blank",0
"CATH36__2019-09-27__12-00-00.jpg","Blank",0
"CATH36__2019-09-28__12-00-00.jpg","Blank",0
"CATH36__2019-09-28__12-00-00.jpg","Blank",0
"CATH36__2019-09-29__12-00-00.jpg","Blank",0
"CATH36__2019-09-29__12-00-00.jpg","Blank",0
"CATH36__2019-09-29__20-56-15.jpg","Animal",0.999
"CATH36__2019-09-29__21-01-50.jpg","Blank",0
"CATH36__2019-09-29__21-01-50.jpg","Blank",0
"CATH36__2019-09-30__07-31-36.jpg","Animal",0.992
"CATH36__2019-09-30__07-31-36.jpg","Animal",0.398
"CATH36__2019-09-30__07-31-36.jpg","Animal",0.362
"CATH36__2019-09-30__07-31-37.jpg","Animal",0.999
"CATH36__2019-09-30__07-31-37.jpg","Animal",0.184
"CATH36__2019-09-30__07-31-39.jpg","Animal",0.999
"CATH36__2019-09-30__07-31-41.jpg","Animal",0.999
"CATH36__2019-09-30__07-31-41.jpg","Animal",0.212
"CATH36__2019-09-30__07-31-42.jpg","Animal",0.999
"CATH36__2019-09-30__07-31-44.jpg","Animal",0.999
"CATH36__2019-09-30__07-32-03.jpg","Animal",0.999
"CATH36__2019-09-30__07-32-04.jpg","Animal",0.999
"CATH36__2019-09-30__07-32-05.jpg","Animal",0.998
"CATH36__2019-09-30__07-32-05.jpg","Animal",0.123
"CATH36__2019-09-30__07-32-07.jpg","Animal",0.933
"CATH36__2019-09-30__07-32-07.jpg","Animal",0.26
"CATH36__2019-09-30__07-32-07.jpg","Animal",0.218
"CATH36__2019-09-30__07-32-09.jpg","Animal",0.966
"CATH36__2019-09-30__07-32-15.jpg","Animal",0.265
"CATH36__2019-09-30__07-32-16.jpg","Animal",0.271
"CATH36__2019-09-30__07-32-17.jpg","Animal",0.997
"CATH36__2019-09-30__07-32-20.jpg","Animal",0.945
"CATH36__2019-09-30__07-32-20.jpg","Animal",0.121
"CATH36__2019-09-30__07-32-21.jpg","Animal",0.911
"CATH36__2019-09-30__07-32-21.jpg","Animal",0.147
"CATH36__2019-09-30__07-32-23.jpg","Animal",0.919
"CATH36__2019-09-30__07-32-23.jpg","Animal",0.4
"CATH36__2019-09-30__07-32-23.jpg","Animal",0.15
"CATH36__2019-09-30__07-32-28.jpg","Animal",0.967
"CATH36__2019-09-30__07-32-28.jpg","Animal",0.184
"CATH36__2019-09-30__07-32-29.jpg","Animal",0.257
"CATH36__2019-09-30__07-32-30.jpg","Animal",0.19
"CATH36__2019-09-30__07-32-30.jpg","Animal",0.169
"CATH36__2019-09-30__08-56-56.jpg","Animal",0.999
"CATH36__2019-09-30__09-00-17.jpg","Animal",0.999
"CATH36__2019-09-30__09-00-17.jpg","Animal",0.968
"CATH36__2019-09-30__09-00-17.jpg","Animal",0.458
"CATH36__2019-09-30__09-00-17.jpg","Animal",0.298
"CATH36__2019-09-30__09-10-01.jpg","Animal",0.985
"CATH36__2019-09-30__09-10-01.jpg","Animal",0.211
"CATH36__2019-09-30__09-10-01.jpg","Animal",0.179
"CATH36__2019-09-30__09-10-01.jpg","Animal",0.115
"CATH36__2019-09-30__09-10-02.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-02.jpg","Animal",0.21
"CATH36__2019-09-30__09-10-04.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-05.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-05.jpg","Animal",0.179
"CATH36__2019-09-30__09-10-07.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-08.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-08.jpg","Animal",0.141
"CATH36__2019-09-30__09-10-12.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-14.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-16.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-18.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-19.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-20.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-21.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-23.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-25.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-27.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-29.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-30.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-31.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-31.jpg","Animal",0.109
"CATH36__2019-09-30__09-10-33.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-33.jpg","Animal",0.139
"CATH36__2019-09-30__09-10-33.jpg","Animal",0.129
"CATH36__2019-09-30__09-10-33.jpg","Animal",0.122
"CATH36__2019-09-30__09-10-34.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-35.jpg","Animal",0.999
"CATH36__2019-09-30__09-10-38.jpg","Animal",0.661
"CATH36__2019-09-30__09-10-38.jpg","Animal",0.153
"CATH36__2019-09-30__09-10-38.jpg","Animal",0.107
"CATH36__2019-09-30__09-31-07.jpg","Animal",0.988
"CATH36__2019-09-30__09-31-07.jpg","Animal",0.986
"CATH36__2019-09-30__09-31-07.jpg","Animal",0.649
"CATH36__2019-09-30__09-31-08.jpg","Animal",0.999
"CATH36__2019-09-30__09-31-08.jpg","Animal",0.174
"CATH36__2019-09-30__09-31-09.jpg","Animal",0.999
"CATH36__2019-09-30__09-31-11.jpg","Animal",0.999
"CATH36__2019-09-30__09-31-12.jpg","Animal",0.998
"CATH36__2019-09-30__12-00-00.jpg","Blank",0
"CATH36__2019-09-30__12-00-00.jpg","Blank",0
"CATH36__2019-10-01__04-25-17.jpg","Animal",0.999
"CATH36__2019-10-01__12-00-00.jpg","Blank",0
"CATH36__2019-10-01__12-00-00.jpg","Blank",0
"CATH36__2019-10-02__12-00-00.jpg","Blank",0
"CATH36__2019-10-02__12-00-00.jpg","Blank",0
"CATH36__2019-10-03__12-00-00.jpg","Blank",0
"CATH36__2019-10-03__12-00-00.jpg","Blank",0
"CATH36__2019-10-04__06-24-43.jpg","Animal",0.992
"CATH36__2019-10-04__06-24-43.jpg","Animal",0.141
"CATH36__2019-10-04__06-24-46.jpg","Animal",0.998
"CATH36__2019-10-04__06-24-47.jpg","Blank",0
"CATH36__2019-10-04__06-24-47.jpg","Blank",0
"CATH36__2019-10-04__12-00-00.jpg","Blank",0
"CATH36__2019-10-04__12-00-00.jpg","Blank",0
"CATH36__2019-10-05__02-02-09.jpg","Animal",0.992
"CATH36__2019-10-05__12-00-00.jpg","Blank",0
"CATH36__2019-10-05__12-00-00.jpg","Blank",0
"CATH36__2019-10-06__12-00-00.jpg","Animal",0.639
"CATH36__2019-10-07__12-00-00.jpg","Blank",0
"CATH36__2019-10-07__12-00-00.jpg","Blank",0
"CATH36__2019-10-08__12-00-00.jpg","Animal",0.964
"CATH36__2019-10-09__04-13-46.jpg","Animal",0.251
"CATH36__2019-10-09__04-13-46.jpg","Animal",0.127
"CATH36__2019-10-09__12-00-00.jpg","Blank",0
"CATH36__2019-10-09__12-00-00.jpg","Blank",0
"CATH36__2019-10-10__12-00-00.jpg","Blank",0
"CATH36__2019-10-10__12-00-00.jpg","Blank",0
"CATH36__2019-10-11__12-00-00.jpg","Animal",0.898
"CATH36__2019-10-11__12-00-00.jpg","Animal",0.355
"CATH36__2019-10-12__12-00-00.jpg","Animal",0.172
"CATH36__2019-10-13__05-01-09.jpg","Animal",0.998
"CATH36__2019-10-13__05-01-10.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-12.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-22.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-24.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-25.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-28.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-31.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-33.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-35.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-35.jpg","Animal",0.141
"CATH36__2019-10-13__05-01-36.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-37.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-42.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-45.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-46.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-50.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-50.jpg","Animal",0.336
"CATH36__2019-10-13__05-01-50.jpg","Animal",0.198
"CATH36__2019-10-13__05-01-57.jpg","Animal",0.999
"CATH36__2019-10-13__05-01-59.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-00.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-01.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-03.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-04.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-06.jpg","Animal",0.999
"CATH36__2019-10-13__05-02-09.jpg","Animal",0.999
