"file","cat","conf"
"CATH42__2019-08-21__14-01-45.jpg","Blank",0
"CATH42__2019-08-21__14-01-45.jpg","Blank",0
"CATH42__2019-08-21__14-01-50.jpg","Blank",0
"CATH42__2019-08-21__14-01-50.jpg","Blank",0
"CATH42__2019-08-21__14-01-51.jpg","Blank",0
"CATH42__2019-08-21__14-01-51.jpg","Blank",0
"CATH42__2019-08-21__14-01-53.jpg","Blank",0
"CATH42__2019-08-21__14-01-53.jpg","Blank",0
"CATH42__2019-08-21__14-02-14.jpg","Human",0.621
"CATH42__2019-08-21__14-02-14.jpg","Animal",0.4
"CATH42__2019-08-21__14-02-20.jpg","Blank",0
"CATH42__2019-08-21__14-02-20.jpg","Blank",0
"CATH42__2019-08-21__14-02-21.jpg","Blank",0
"CATH42__2019-08-21__14-02-21.jpg","Blank",0
"CATH42__2019-08-21__14-02-22.jpg","Blank",0
"CATH42__2019-08-21__14-02-22.jpg","Blank",0
"CATH42__2019-08-21__14-04-15.jpg","Human",0.999
"CATH42__2019-08-21__14-04-15.jpg","Animal",0.117
"CATH42__2019-08-21__14-04-23.jpg","Human",0.43
"CATH42__2019-08-21__14-04-23.jpg","Animal",0.14
"CATH42__2019-08-21__14-04-26.jpg","Animal",0.912
"CATH42__2019-08-21__14-04-26.jpg","Human",0.802
"CATH42__2019-08-21__14-04-27.jpg","Animal",0.982
"CATH42__2019-08-21__14-04-27.jpg","Human",0.429
"CATH42__2019-08-21__14-04-29.jpg","Blank",0
"CATH42__2019-08-21__14-04-29.jpg","Blank",0
"CATH42__2019-08-21__14-04-31.jpg","Animal",0.13
"CATH42__2019-08-21__14-04-33.jpg","Human",0.788
"CATH42__2019-08-21__14-04-33.jpg","Animal",0.252
"CATH42__2019-08-21__14-04-36.jpg","Animal",0.114
"CATH42__2019-08-21__14-04-37.jpg","Animal",0.101
"CATH42__2019-08-21__14-04-38.jpg","Blank",0
"CATH42__2019-08-21__14-04-38.jpg","Blank",0
"CATH42__2019-08-21__14-04-40.jpg","Blank",0
"CATH42__2019-08-21__14-04-40.jpg","Blank",0
"CATH42__2019-08-21__14-04-42.jpg","Blank",0
"CATH42__2019-08-21__14-04-42.jpg","Blank",0
"CATH42__2019-08-21__14-04-47.jpg","Human",0.996
"CATH42__2019-08-21__14-04-47.jpg","Human",0.368
"CATH42__2019-08-21__14-04-49.jpg","Human",0.998
"CATH42__2019-08-21__14-04-49.jpg","Human",0.14
"CATH42__2019-08-21__14-04-51.jpg","Human",0.998
"CATH42__2019-08-21__14-04-51.jpg","Vehicle",0.137
"CATH42__2019-08-21__14-04-53.jpg","Human",0.998
"CATH42__2019-08-21__14-04-53.jpg","Human",0.348
"CATH42__2019-08-21__14-04-53.jpg","Human",0.148
"CATH42__2019-08-21__14-04-54.jpg","Human",0.998
"CATH42__2019-08-21__14-04-56.jpg","Blank",0
"CATH42__2019-08-21__14-04-56.jpg","Blank",0
"CATH42__2019-08-22__12-00-00.jpg","Blank",0
"CATH42__2019-08-22__12-00-00.jpg","Blank",0
"CATH42__2019-08-23__00-34-47.jpg","Animal",0.999
"CATH42__2019-08-23__00-34-48.jpg","Animal",0.989
"CATH42__2019-08-23__00-34-48.jpg","Animal",0.113
"CATH42__2019-08-23__00-34-49.jpg","Animal",0.351
"CATH42__2019-08-23__00-34-49.jpg","Animal",0.101
"CATH42__2019-08-23__12-00-00.jpg","Animal",0.389
"CATH42__2019-08-24__12-00-00.jpg","Blank",0
"CATH42__2019-08-24__12-00-00.jpg","Blank",0
"CATH42__2019-08-25__12-00-00.jpg","Blank",0
"CATH42__2019-08-25__12-00-00.jpg","Blank",0
"CATH42__2019-08-26__12-00-00.jpg","Blank",0
"CATH42__2019-08-26__12-00-00.jpg","Blank",0
"CATH42__2019-08-27__12-00-00.jpg","Blank",0
"CATH42__2019-08-27__12-00-00.jpg","Blank",0
"CATH42__2019-08-28__12-00-00.jpg","Blank",0
"CATH42__2019-08-28__12-00-00.jpg","Blank",0
"CATH42__2019-08-29__12-00-00.jpg","Blank",0
"CATH42__2019-08-29__12-00-00.jpg","Blank",0
"CATH42__2019-08-29__20-31-01.jpg","Animal",0.996
"CATH42__2019-08-30__00-21-09.jpg","Animal",0.998
"CATH42__2019-08-30__00-21-13.jpg","Animal",0.999
"CATH42__2019-08-30__00-21-15.jpg","Animal",0.999
"CATH42__2019-08-30__01-31-37.jpg","Animal",0.998
"CATH42__2019-08-30__01-31-40.jpg","Animal",0.999
"CATH42__2019-08-30__02-45-42.jpg","Animal",0.995
"CATH42__2019-08-30__12-00-00.jpg","Blank",0
"CATH42__2019-08-30__12-00-00.jpg","Blank",0
"CATH42__2019-08-31__02-39-02.jpg","Animal",0.999
"CATH42__2019-08-31__02-39-02.jpg","Animal",0.431
"CATH42__2019-08-31__02-39-02.jpg","Animal",0.118
"CATH42__2019-08-31__12-00-00.jpg","Animal",0.158
"CATH42__2019-08-31__21-49-48.jpg","Animal",0.999
"CATH42__2019-09-01__04-21-43.jpg","Animal",0.999
"CATH42__2019-09-01__04-21-43.jpg","Animal",0.14
"CATH42__2019-09-01__04-22-07.jpg","Animal",0.999
"CATH42__2019-09-01__04-22-12.jpg","Animal",0.993
"CATH42__2019-09-01__04-22-12.jpg","Animal",0.198
"CATH42__2019-09-01__12-00-00.jpg","Blank",0
"CATH42__2019-09-01__12-00-00.jpg","Blank",0
"CATH42__2019-09-02__12-00-00.jpg","Blank",0
"CATH42__2019-09-02__12-00-00.jpg","Blank",0
"CATH42__2019-09-03__12-00-00.jpg","Blank",0
"CATH42__2019-09-03__12-00-00.jpg","Blank",0
"CATH42__2019-09-04__01-25-23.jpg","Animal",0.996
"CATH42__2019-09-04__12-00-00.jpg","Blank",0
"CATH42__2019-09-04__12-00-00.jpg","Blank",0
"CATH42__2019-09-05__12-00-00.jpg","Blank",0
"CATH42__2019-09-05__12-00-00.jpg","Blank",0
"CATH42__2019-09-06__00-05-29.jpg","Blank",0
"CATH42__2019-09-06__00-05-29.jpg","Blank",0
"CATH42__2019-09-06__12-00-00.jpg","Blank",0
"CATH42__2019-09-06__12-00-00.jpg","Blank",0
"CATH42__2019-09-07__12-00-00.jpg","Blank",0
"CATH42__2019-09-07__12-00-00.jpg","Blank",0
"CATH42__2019-09-07__23-48-41.jpg","Animal",0.998
"CATH42__2019-09-08__12-00-00.jpg","Animal",0.107
"CATH42__2019-09-09__12-00-00.jpg","Animal",0.227
"CATH42__2019-09-10__12-00-00.jpg","Blank",0
"CATH42__2019-09-10__12-00-00.jpg","Blank",0
"CATH42__2019-09-11__12-00-00.jpg","Animal",0.104
"CATH42__2019-09-12__12-00-00.jpg","Blank",0
"CATH42__2019-09-12__12-00-00.jpg","Blank",0
"CATH42__2019-09-13__12-00-00.jpg","Animal",0.25
"CATH42__2019-09-13__23-14-15.jpg","Animal",0.999
"CATH42__2019-09-13__23-14-18.jpg","Animal",0.998
"CATH42__2019-09-14__12-00-00.jpg","Animal",0.255
"CATH42__2019-09-14__22-06-46.jpg","Animal",0.999
"CATH42__2019-09-15__12-00-00.jpg","Animal",0.589
"CATH42__2019-09-15__12-00-00.jpg","Animal",0.109
"CATH42__2019-09-15__13-16-38.jpg","Animal",0.995
"CATH42__2019-09-15__13-16-40.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-40.jpg","Animal",0.361
"CATH42__2019-09-15__13-16-40.jpg","Animal",0.208
"CATH42__2019-09-15__13-16-40.jpg","Animal",0.188
"CATH42__2019-09-15__13-16-41.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-42.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-42.jpg","Animal",0.11
"CATH42__2019-09-15__13-16-46.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-46.jpg","Animal",0.769
"CATH42__2019-09-15__13-16-48.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-48.jpg","Animal",0.998
"CATH42__2019-09-15__13-16-48.jpg","Animal",0.431
"CATH42__2019-09-15__13-16-50.jpg","Animal",0.998
"CATH42__2019-09-15__13-16-50.jpg","Animal",0.919
"CATH42__2019-09-15__13-16-50.jpg","Animal",0.596
"CATH42__2019-09-15__13-16-50.jpg","Animal",0.143
"CATH42__2019-09-15__13-16-51.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-51.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-51.jpg","Animal",0.995
"CATH42__2019-09-15__13-16-52.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-52.jpg","Animal",0.998
"CATH42__2019-09-15__13-16-52.jpg","Animal",0.998
"CATH42__2019-09-15__13-16-52.jpg","Animal",0.989
"CATH42__2019-09-15__13-16-52.jpg","Animal",0.63
"CATH42__2019-09-15__13-16-53.jpg","Animal",0.999
"CATH42__2019-09-15__13-16-53.jpg","Animal",0.998
"CATH42__2019-09-15__13-16-53.jpg","Animal",0.972
"CATH42__2019-09-15__13-16-53.jpg","Animal",0.207
"CATH42__2019-09-15__13-17-02.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-02.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-02.jpg","Animal",0.992
"CATH42__2019-09-15__13-17-02.jpg","Animal",0.832
"CATH42__2019-09-15__13-17-02.jpg","Animal",0.351
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.706
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.526
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.255
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.196
"CATH42__2019-09-15__13-17-03.jpg","Animal",0.147
"CATH42__2019-09-15__13-17-05.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-05.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-05.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-05.jpg","Animal",0.173
"CATH42__2019-09-15__13-17-05.jpg","Animal",0.146
"CATH42__2019-09-15__13-17-06.jpg","Animal",0.998
"CATH42__2019-09-15__13-17-06.jpg","Animal",0.986
"CATH42__2019-09-15__13-17-06.jpg","Animal",0.741
"CATH42__2019-09-15__13-17-08.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-08.jpg","Animal",0.604
"CATH42__2019-09-15__13-17-08.jpg","Animal",0.103
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.802
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.28
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.197
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.155
"CATH42__2019-09-15__13-17-09.jpg","Animal",0.111
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.991
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.77
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.554
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.164
"CATH42__2019-09-15__13-17-12.jpg","Animal",0.158
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.998
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.993
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.98
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.446
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.439
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.199
"CATH42__2019-09-15__13-17-14.jpg","Animal",0.158
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.995
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.878
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.545
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.327
"CATH42__2019-09-15__13-17-15.jpg","Animal",0.215
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.994
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.973
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.928
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.591
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.563
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.213
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.124
"CATH42__2019-09-15__13-17-16.jpg","Animal",0.114
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.997
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.938
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.379
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.238
"CATH42__2019-09-15__13-17-17.jpg","Animal",0.229
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.997
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.926
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.422
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.36
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.193
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.177
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.177
"CATH42__2019-09-15__13-17-20.jpg","Animal",0.168
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.99
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.934
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.498
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.403
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.278
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.258
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.257
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.198
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.162
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.162
"CATH42__2019-09-15__13-17-22.jpg","Animal",0.101
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.998
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.995
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.826
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.592
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.525
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.288
"CATH42__2019-09-15__13-17-28.jpg","Animal",0.105
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.999
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.977
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.897
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.865
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.68
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.395
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.312
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.194
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.154
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.129
"CATH42__2019-09-15__13-17-29.jpg","Animal",0.121
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.998
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.996
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.973
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.962
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.951
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.806
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.403
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.306
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.23
"CATH42__2019-09-15__13-17-31.jpg","Animal",0.102
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.997
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.995
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.995
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.99
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.817
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.719
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.3
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.193
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.14
"CATH42__2019-09-15__13-17-37.jpg","Animal",0.112
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.996
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.988
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.988
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.97
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.53
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.405
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.334
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.19
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.159
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.156
"CATH42__2019-09-15__13-17-38.jpg","Animal",0.129
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.997
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.996
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.991
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.945
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.895
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.409
"CATH42__2019-09-15__13-17-39.jpg","Animal",0.117
"CATH42__2019-09-15__13-17-41.jpg","Animal",0.998
