"file","cat","conf"
"CATH23__2019-10-01__13-54-50(1).JPG","Human",0.404
"CATH23__2019-10-01__13-55-32(1).JPG","Animal",0.176
"CATH23__2019-10-01__13-55-35(2).JPG","Blank",0
"CATH23__2019-10-01__13-55-35(2).JPG","Blank",0
"CATH23__2019-10-01__13-55-36(3).JPG","Blank",0
"CATH23__2019-10-01__13-55-36(3).JPG","Blank",0
"CATH23__2019-10-01__13-55-37(4).JPG","Human",0.101
"CATH23__2019-10-01__13-55-39(5).JPG","Blank",0
"CATH23__2019-10-01__13-55-39(5).JPG","Blank",0
"CATH23__2019-10-01__13-55-42(6).JPG","Animal",0.118
"CATH23__2019-10-01__13-55-44(7).JPG","Animal",0.468
"CATH23__2019-10-01__13-55-44(7).JPG","Animal",0.211
"CATH23__2019-10-01__13-55-44(7).JPG","Animal",0.101
"CATH23__2019-10-01__13-55-58(8).JPG","Animal",0.798
"CATH23__2019-10-01__13-55-58(8).JPG","Animal",0.426
"CATH23__2019-10-01__13-56-39(1).JPG","Animal",0.635
"CATH23__2019-10-01__13-56-39(1).JPG","Animal",0.275
"CATH23__2019-10-01__14-03-40(1).JPG","Human",0.979
"CATH23__2019-10-01__14-03-42(2).JPG","Blank",0
"CATH23__2019-10-01__14-03-42(2).JPG","Blank",0
"CATH23__2019-10-02__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-02__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-03__12-00-00(1).JPG","Animal",0.832
"CATH23__2019-10-03__12-00-00(1).JPG","Human",0.109
"CATH23__2019-10-04__00-15-45(1).JPG","Animal",0.999
"CATH23__2019-10-04__00-15-49(2).JPG","Animal",0.999
"CATH23__2019-10-04__00-15-50(3).JPG","Animal",0.997
"CATH23__2019-10-04__00-15-56(4).JPG","Animal",0.922
"CATH23__2019-10-04__00-15-56(4).JPG","Animal",0.404
"CATH23__2019-10-04__00-15-56(4).JPG","Animal",0.135
"CATH23__2019-10-04__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-04__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-05__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-05__12-00-00(1).JPG","Blank",0
"CATH23__2019-10-05__17-31-25(1).JPG","Animal",0.917
"CATH23__2019-10-05__17-31-25(1).JPG","Animal",0.224
"CATH23__2019-10-05__17-31-26(2).JPG","Animal",0.999
