"file","cat","conf"
"CATH30__2019-07-05__10-48-01(1).JPG","Human",0.441
"CATH30__2019-07-05__10-48-01(1).JPG","Animal",0.406
"CATH30__2019-07-05__10-48-01(1).JPG","Animal",0.364
"CATH30__2019-07-05__10-48-01(1).JPG","Animal",0.252
"CATH30__2019-07-05__10-48-01(1).JPG","Human",0.216
"CATH30__2019-07-05__10-49-23(1).JPG","Animal",0.777
"CATH30__2019-07-05__10-49-23(1).JPG","Animal",0.415
"CATH30__2019-07-05__10-49-23(1).JPG","Animal",0.141
"CATH30__2019-07-05__10-49-24(2).JPG","Human",0.999
"CATH30__2019-07-05__10-49-25(3).JPG","Human",0.999
"CATH30__2019-07-05__10-49-27(4).JPG","Animal",0.732
"CATH30__2019-07-05__10-49-27(4).JPG","Animal",0.277
"CATH30__2019-07-05__10-51-46(1).JPG","Human",0.999
"CATH30__2019-07-05__10-51-47(2).JPG","Human",0.992
"CATH30__2019-07-05__10-51-47(2).JPG","Animal",0.292
"CATH30__2019-07-05__10-51-47(2).JPG","Animal",0.217
"CATH30__2019-07-05__12-00-00(1).JPG","Animal",0.517
"CATH30__2019-07-05__12-00-00(1).JPG","Animal",0.392
"CATH30__2019-07-05__12-00-00(1).JPG","Animal",0.113
"CATH30__2019-07-06__12-00-00(1).JPG","Animal",0.407
"CATH30__2019-07-07__12-00-00(1).JPG","Blank",0
"CATH30__2019-07-07__12-00-00(1).JPG","Blank",0
"CATH30__2019-07-08__12-00-00(1).JPG","Animal",0.165
"CATH30__2019-07-09__12-00-00(1).JPG","Animal",0.973
"CATH30__2019-07-10__12-00-00(1).JPG","Blank",0
"CATH30__2019-07-10__12-00-00(1).JPG","Blank",0
"CATH30__2019-07-10__19-10-24(1).JPG","Animal",0.151
"CATH30__2019-07-10__19-10-25(2).JPG","Animal",0.522
"CATH30__2019-07-10__19-10-25(2).JPG","Animal",0.142
"CATH30__2019-07-10__19-10-27(3).JPG","Animal",0.498
"CATH30__2019-07-10__19-10-27(3).JPG","Animal",0.23
"CATH30__2019-07-10__19-10-28(4).JPG","Animal",0.996
"CATH30__2019-07-10__19-10-28(4).JPG","Animal",0.396
"CATH30__2019-07-10__19-10-28(4).JPG","Animal",0.126
"CATH30__2019-07-10__19-10-29(5).JPG","Animal",0.997
"CATH30__2019-07-10__19-10-30(6).JPG","Animal",0.997
"CATH30__2019-07-10__19-10-30(6).JPG","Animal",0.169
"CATH30__2019-07-10__19-10-50(7).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-53(8).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-53(8).JPG","Animal",0.164
"CATH30__2019-07-10__19-10-53(8).JPG","Animal",0.148
"CATH30__2019-07-10__19-10-54(9).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-54(9).JPG","Animal",0.131
"CATH30__2019-07-10__19-10-55(10).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-55(10).JPG","Animal",0.133
"CATH30__2019-07-10__19-10-57(11).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-59(12).JPG","Animal",0.999
"CATH30__2019-07-10__19-10-59(12).JPG","Animal",0.298
"CATH30__2019-07-10__19-11-16(1).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-18(2).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-18(2).JPG","Animal",0.629
"CATH30__2019-07-10__19-11-18(2).JPG","Animal",0.265
"CATH30__2019-07-10__19-11-18(2).JPG","Animal",0.115
"CATH30__2019-07-10__19-11-19(3).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-22(4).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-24(5).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-25(6).JPG","Animal",0.999
"CATH30__2019-07-10__19-11-25(6).JPG","Animal",0.823
"CATH30__2019-07-10__19-11-25(6).JPG","Animal",0.167
"CATH30__2019-07-10__19-12-39(1).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-42(2).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-43(3).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-47(4).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-49(5).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-51(6).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-54(7).JPG","Animal",0.999
"CATH30__2019-07-10__19-12-57(8).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-00(1).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-01(2).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-06(3).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-07(4).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-07(4).JPG","Animal",0.154
"CATH30__2019-07-10__19-13-09(5).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-12(6).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-12(6).JPG","Animal",0.208
"CATH30__2019-07-10__19-13-16(7).JPG","Animal",0.999
"CATH30__2019-07-10__19-13-18(8).JPG","Animal",0.999
