"file","cat","conf"
"CATH35__2020-05-05__11-28-16.jpg","Human",0.997
"CATH35__2020-05-05__11-28-16.jpg","Human",0.99
"CATH35__2020-05-05__11-28-16.jpg","Human",0.878
"CATH35__2020-05-05__11-28-16.jpg","Human",0.687
"CATH35__2020-05-05__11-28-16.jpg","Human",0.389
"CATH35__2020-05-05__11-28-16.jpg","Human",0.313
"CATH35__2020-05-05__11-28-16.jpg","Human",0.296
"CATH35__2020-05-05__11-28-16.jpg","Human",0.226
"CATH35__2020-05-05__11-28-16.jpg","Human",0.217
"CATH35__2020-05-05__11-28-16.jpg","Animal",0.12
"CATH35__2020-05-05__11-28-16.jpg","Human",0.115
"CATH35__2020-05-05__11-28-18.jpg","Human",0.999
"CATH35__2020-05-05__11-28-18.jpg","Human",0.994
"CATH35__2020-05-05__11-28-18.jpg","Animal",0.202
"CATH35__2020-05-05__11-28-18.jpg","Human",0.122
"CATH35__2020-05-05__11-28-18.jpg","Human",0.108
"CATH35__2020-05-05__11-28-21.jpg","Human",0.997
"CATH35__2020-05-05__11-28-21.jpg","Human",0.997
"CATH35__2020-05-05__11-28-21.jpg","Human",0.392
"CATH35__2020-05-05__11-28-23.jpg","Human",0.998
"CATH35__2020-05-05__11-28-23.jpg","Human",0.119
"CATH35__2020-05-05__11-28-27.jpg","Human",0.997
"CATH35__2020-05-05__11-28-27.jpg","Human",0.994
"CATH35__2020-05-05__11-28-27.jpg","Human",0.975
"CATH35__2020-05-05__11-28-27.jpg","Human",0.646
"CATH35__2020-05-05__11-28-27.jpg","Animal",0.224
"CATH35__2020-05-05__11-28-38.jpg","Human",0.998
"CATH35__2020-05-05__11-28-38.jpg","Human",0.364
"CATH35__2020-05-05__11-28-46.jpg","Human",0.998
"CATH35__2020-05-05__11-28-46.jpg","Human",0.956
"CATH35__2020-05-05__11-28-46.jpg","Human",0.864
"CATH35__2020-05-05__11-28-46.jpg","Human",0.83
"CATH35__2020-05-05__11-28-46.jpg","Human",0.616
"CATH35__2020-05-05__11-28-46.jpg","Human",0.474
"CATH35__2020-05-05__11-28-46.jpg","Human",0.336
"CATH35__2020-05-05__11-28-46.jpg","Human",0.241
"CATH35__2020-05-05__11-28-46.jpg","Human",0.231
"CATH35__2020-05-05__11-28-46.jpg","Human",0.222
"CATH35__2020-05-05__11-28-46.jpg","Animal",0.135
"CATH35__2020-05-05__11-28-48.jpg","Human",0.999
"CATH35__2020-05-05__11-28-48.jpg","Human",0.991
"CATH35__2020-05-05__11-28-48.jpg","Human",0.612
"CATH35__2020-05-05__11-28-48.jpg","Human",0.61
